বব মার্লের
হাত পা
লেবার পার্টির
কি রকম
অনেক সময়
জানা নেই
বাংলাদেশে প্রজাতি
আসে না
মা আমাকে
তার উপর
এক অদ্ভুত
খুব ভালো
বার বার
আর কোনো
দিকে তাকায়
কিছু না
শেখ মুজিব
আমি আমার
নামের এক
না বরং
এর বৈশ্বিক
বোধ করি
এখন আর
আমার মন
এমন এক
হয় আমি
রসূল মিয়া
হয়ে গেলাম
সাধারণ মানুষ
খান ব্রাদার্স
শুরু করেছে
অন্য কোন
বসে আছে
খুব বেশি
মনে হচ্ছিলো
কথা বলা
এসব কথা
কিন্তু তার
আমাদের দেশে
শাহীন ভাইয়ের
থেকে বেরিয়ে
আর কী
হয় তাহলে
কাছ থেকে
না আমি
থেকে শুরু
গাড়ি চলে
মুনীর সাহেব
আহমদ ছফা
কেউ নেই
আমার এই
সে জন্য
যায় নি
সঙ্গে সঙ্গে
ভালো না
আরো কিছু
প্রজাতির মধ্যে
না থাকলে
ফেলতে হবে
আর কিছু
ধারণ করে
হিমু ভাইয়ের
হয়ে গেল
কাজ করে
প্রশ্বাস স্বাভাবিক
হয় নি
না কারণ
আব্দুল ওহাব
আর লাশ
পারে নি
সংবাদ পরিবেশন
শুরু হলো
৩২ নং
এই রকম
শুরু করে
হয়ে যায়
এদিক সেদিক
মনে হয়
বড় বড়
ডেভিড বার্গম্যানের
লম্বা সময়
না বলে
এত বড়
পা পায়ের
জুবায়ের ভাইয়ের
হাজার হাজার
তার সঙ্গে
ওয়েস্ট ইন্ডিজ
রয়ে গেছে
ঠিক আছে
67 61
প্রয়োজনমতো শবাসনে
ছফা রচনাবলি
বিপদমুক্ত বলে
না তার
যে কারণে
বদরু খাঁ
হয়ে গেল
ঠোঁট সেমি
হল এই
মাঝে মাঝে
তার মধ্যে
করা যেতে
কোন এক
খুব ভাল
দিতে হয়
লাশ আর
করে তার
মি সামসা
আমরা জানি
কিন্তু সে
পারছে না
কি হবে
যুদ্ধাপরাধীদের বিচার
সামরিক বাহিনীর
ঘটর ঘটর
না হয়ে
সবচেয়ে বেশী
হয় এই
করার জন্য
কেন আমি
সালেহ চৌধুরী
রয়েছে অবস্থা
করে আমি
ছাড়া আর
করা হয়েছে
ঘর থেকে
তৈরি করে
খুব বেশী
হয়ে উঠেছিল
প্রকাশ করা
হিমু ভাই
বিবেচিত বাংলাদেশের
করা যাবে
সব কিছু
আল মাহমুদের
হবার কথা
বাংলাদেশের বন্যপ্রাণী
পারে না
না আর
সম্ভব না
মতি মামা
হয় কিন্তু
যেতে হবে
মনে মনে
নামে একটি
আমার মা
নেম ইজ
না তবু
সেমি পা
রইল না
এম এম
হলো যে
রুবি রায়
আমার মতো
মাটির নীচে
হত্যা করা
পড়তে গিয়ে
যায় না
আর এই
হয়ে উঠেছে
কথা ছিল
সব চেয়ে
পাখি দৈর্ঘ্য
ভালো থেকো
মতি মামার
হাই কমিশন
হতে পারে
বিষয়টি নিয়ে
করে সে
আমি মনে
করতে পারি
শুধু মাত্র
সেই সব
ভালো লাগে
এবং এই
সে সব
যাবে না
আবাসিক পাখি
ঠিক তখনই
ফরহাদ মজহার
74 72
করে আমার
ব্যবহার করে
না শুধু
এই সব
বাবা মায়ের
তিনি আমাকে
পাওয়া যাবে
খবরের কাগজে
সুমন রহমান
দেওয়া হয়
নামের অর্থ
বার করে
আর কি
এর আগে
দিকে তাকালাম
বিভিন্ন রকম
শা ভা
কাজ শুরু
ভাইয়ের সঙ্গে
বলে উঠল
কেউ কেউ
সুদের হার
হয়ে উঠে
দাঁত বের
মনে হল
তীর্থের কাক
অনেক বেশী
আর একটা
চেষ্টা করে
আর জালাল
সেই সঙ্গে
তাই বলে
তা নয়
দেয়া হলো
এমন একটা
না কি
আরও বেশী
তাজ ভাই
এই নিয়ে
সম্পাদনা নূরুল
বন্ধ করে
দেখা মিলল
না তারা
কি হয়েছে
জুম চাষ
জানে না
চলতি বছর
চোখের সামনে
লীলেন ভাই
করা হচ্ছে
দিকে এগিয়ে
প্রজাতি সংরক্ষিত
না কেউ
দু টি
যেতে যেতে
সেমি ঠোঁট
প্রশ্নের উত্তর
এর পর
ইচ্ছে করে
আমরা আমাদের
আছে আমার
এই সমস্ত
একটু পর
আনোয়ার খান
না কী
তিনি বলেন
কী করে
নারী দ্রৌপদী
ভালো করে
আজমল ভাই
এই দেশে
হয়ে যায়
যে কোন
অন্য কোনো
ইতিহাস রচনার
নৌকা বাইচ
পারলাম না
ইয়াসির আলীর
বন্ধ করতে
শ্বাস প্রশ্বাস
ইয়াসির আলী
বলা যায়
অনেক দিন
বৈশ্বিক বিস্তৃতি
কেমন করে
কিছু একটা
ইংরেজি নাম
টুকরো টুকরো
সবচেয়ে বেশি
নয় এগারো
79 40
সব চাইতে
এমন সময়
তিন রাজনৈতিক
বৈ কি
আর কোন
তার মানে
জিজ্ঞেস করে
বের করে
উপর ভিত্তি
তেমন একটা
69 63
ঝাকানাকা বললেন
পর পর
সেমি লেজ
হাওয়াই মিঠাই
আইনে প্রজাতি
কে জানি
কী কী
নিজস্ব ধাঁচের
মত করে
মনে হয়
ঢাকা শহরের
করতে থাকে
এর সঙ্গে
করতে হয়
আবদুল গোলাম
একটা মেয়ে
আমার মত
পাওয়া যায়
লাগে না
হাত দিয়ে
কিন্তু এই
থাকতে পারে
অধ্যাপক মোশাররফ
মনে হচ্ছে
আস্তে আস্তে
এই ব্যাপারে
দেখা যাচ্ছে
এম আর
সমস্যা হলো
দক্ষিণ পূর্ব
দবির শেখ
কয়েক বছর
অক্টোবর ২০০৬
জোহরা বেগম
একটু করে
তার মনে
না কেনো
আমজাদ খান
অবাক হয়ে
কিছু মনে
নারী কুন্তী
আমার বন্ধু
আপনি কি
না কেন
বুঝতে পারি
লিটল ম্যাগাজিন
এবারক হোসেন
আমার হাত
দিকে তাকিয়ে
একটা কথা
অনেক কিছু
হতে হতে
অনেক কিছুই
এমন কি
বাংলাদেশ রাষ্ট্রের
আমার জন্য
হয়ে যাচ্ছে
ছিল না
দিকে চেয়ে
শুধু তাই
কোন কথা
মিস জুলিয়া
হঠাৎ করে
বিশ্বের সবচেয়ে
মুস্তাফিজ ভাই
মনে পড়লো
তার চেয়ে
দেয়া হয়
আর আমাদের
বোধ করে
মুনীর সাহেবের
ডব্লিউ ডব্লিউ
বলতে গেলে
কবির সাহেব
এর মাঝে
নতুন করে
রিটন ভাই
যেতে পারে
বছর পরে
না বাসে
এন্ড কোম্পানি
পর থেকে
সন্তু লারমার
না সে
আওয়ামী লীগ
প্রশ্ন ফাঁস
বিচরণ করে
পাই না
72 79
হলো না
করার জন্যে
কি করে
চলে গেলো
তা হলো
চলে যায়
পার হয়ে
থাকে না
সাথে দেখা
হে হে
হাসি দিয়ে
শুরু হলো
হাশেম মেম্বার
শেষ পর্যন্ত
পড়ে যায়
পারে কিন্তু
বাছা দিন
সেখান থেকে
একটু পরে
অপু ভাই
করতে গিয়ে
একই সঙ্গে
আনন্দম গীতায়নের
শর্মিলা বসুর
আমি যখন
মাতৃভাষা দিবস
জানি না
ডি আর
হয়তো বা
আল মাহমুদ
বুঝতে পারলাম
খান চৌধুরীর
পার্বত্য চট্টগ্রামের
শুরু করল
আমি নিশ্চিত
কোথা থেকে
মনে পড়ে
সমর সেন
খুব একটা
শেখ জলিল
ভেতর থেকে
পারবে না
আমি বলি
দু খানা
এবং তার
বলে না
অনেক অনেক
আমি আর
শহীদ মিনারে
আর কেউ
শবাসনে বিশ্রাম
করতে হবে
অমিত আহমেদ
এই মুহূর্তে
হামিদুর রহমান
বলা হয়
অতিথি বলেছেন
হয় না
কল্পনা চাকমা
করতে পারে
বারে বারে
ব্যবহার করতে
হয়ে গেছে
হাত থেকে
শর্মিলা বসু
খণ্ড সম্পাদনা
তো আর
পারি না
আমি বললাম
হচ্ছে না
কথা নয়
রুবাইয়াত হোসেন
ভাল লাগে
তীরু দা
কাঠামোবদ্ধ প্রশ্নপত্রের
শুরু করলাম
বছর আগে
কেমন যেন
ইজ খান
সে আমাকে
আমি কই
হাঁটতে হাঁটতে
না কোনো
হোক আর
পাড়ে ডিমগুলো
67 74
শাহ সাহেবের
নিজের ভেতরে
কথা মনে
আরও কিছু
আমি তো
সাথে আমার
ভাল করে
ব্যবহার করা
বোধ হয়
হুট করে
আর আমি
করা হলো
করে আর
করা উচিত
তাই না
বলে বিবেচিত
মনে আছে
দিতে গিয়ে
সঙ্গে কথা
গ্র পের
করা হবে
দেখা যায়
এই যে
হল না
প্রাচীন মিশরের
সবচেয়ে বেশী
এমএন লারমা
তার কাছে
তার নিজের
দেখা গেলো
রুবাইয়াত ২০০৯
কর্ড ব্লাড
61 69
পারছি না
যাত্রা শুরু
আওয়ামী লীগের
কোম্পানি ফেব্রুয়ারি
এর মত
না তাই
সমর সেনের
সে কি
কালো রঙের
বসে আছি
বাসা থেকে
করা সম্ভব
টুকরো লেখা
কী না
দেশের মানুষ
দেয়া হয়েছে
আরো বেশি
শাহী মির্জা
পাকিস্তান আর্মির
উকুন বাছা
করতে পারবে
ফিরে আসে
না তুমি
যাই হোক
হানিফ সাহেবের
কি কি
এই ধরনের
গায়ের রং
সংরক্ষিত বিবিধ
আমি জানি
তার সাথে
গুল মোহাম্মদ
ভর্তি পরীক্ষা
আল্লাহর উপর
প্রজাতি বাংলাদেশে
খনার বচন
পায়ের পাতা
চাও ঝিয়ে
উপায় নেই
এরই মাঝে
কোন না
দু টো
সবচেয়ে বড়
চাই না
সাথে সাথে
মহাভারতে তিন
ছোট ভাই
তাজ ভাইয়ের
কুন্তী পর্ব
করি না
রিজওয়ান খান
সুরুয মিয়া
বিশেষ করে
আহমদ ছফার
তুমি কি
তার পর
আমি তাকে
আমার জন্যে
সঙ্গে আমার
কী হবে
আমি কি
জুবায়ের ভাই
পর্ব মহাভারতে
সেই সাথে
ডিম পাড়ে
বন্ধ করা
আমাদের খেলাঘর
আমার ধারণা
গ্রহণ করা
রাখতে হবে
বোঝা যায়
সে রকম
সব থেকে
প্রফেসর হক
আলবাব ভাই
করা হয়েছে
না স্যার
লিটল ম্যাগাজিনের
শেষ করে
এক ধরণের
হয় নাই
পর এক
জিজ্ঞেস করলাম
বের হয়ে
হয়ে ওঠে
সাথে সাথেই
হঠাৎ করেই
সেমি ওজন
আমাদের কাছে
হবার পর
কাজ করতে
সে ভালো
হয়ে থাকে
সব সময়
আমি অবাক
দেশের মানুষের
বন্যপ্রাণী আইনে
মতো করে
করা হয়
নিজামী আলু
তৈরী করা
শেখ মুজিবের
আমরা সবাই
তা কি
চুপ করে
বৈজ্ঞানিক নামের
মিং লিয়ং
আল হক
ব্লগের লেখা
হোক না
শুরু থেকেই
পার্বত্য চট্টগ্রাম
শহীদ মিনার
যে সকল
জাফর সাহেব
ভবা পাগলার
খালেদা জিয়ার
এতে করে
শুনতে পাই
মুখের দিকে
কোন একটা
গ্রেগর তার
এমন কী
কই কই
গত বছর
না তবে
কি না
একের পর
মনে করে
মধ্য দিয়ে
আরো অনেক
অবস্থায় থাকুন
না কোন
কিন্তু এখন
আমার মনে
আমার দিকে
থেকে বের
যদি সে
এর পরে
কথা বলে
অনেক বেশি
পুরুষ স্ত্রীপাখির
মনে হয়েছে
সে সময়
তার জন্য
একটা বড়
এমনি এক
ধীরে ধীরে
নয় কিন্তু
মোবাইল ফোন
নেই কিন্তু
কে জানে
করে বলে
করা হোক
সেটা নিয়ে
দেশবিদেশের উপকথা
এইচ ডি
হাই কমিশনার
ফেব্রুয়ারি ২০১০
কিংকু চৌধারি
সঙ্গে দেখা
শেখ হাসিনা
আমাদের সময়ের
মন খারাপ
সোহেল ভাইয়ের
চিৎকার করে
গেল না
আমার খুব
হলো তার
প্রাচীন বাংলার
আমি তার
আর তার
দু জন
দেওয়া যায়
করে দেওয়া
ব্রাদার্স এন্ড
মনে করেন
কেন জানি
করে না
কাছে এসে
