Mahi Rahi,value,Wasim Faruk,value,Abdul Gaffar,value,Tareque Anu,value,MZI,value,Niyaz Morshed,value,Hasan Mahbub,value,Nir Shondhani,value,Abu Hena Md Ashraful Islam,value,Kandari Athorbo,value,Emon Jubayer,value
একটা , 367,বিভিন্ন , 212,তখন , 331,দিয়ে , 472,দিয়ে , 642,সেই , 228,আমাদের , 582,কেউ , 455,যায় , 339,মনে , 434,দিকে , 412
তাদের , 366,আমরা , 202,নয় , 319,যায় , 470,বড় , 630,মনে , 223,খুব , 573,মনে , 442,বললেন , 336,আছে , 426,বড় , 407
মত , 342,কে , 197,পারে , 314,করতে , 457,মনে , 629,দিয়ে , 214,ছিলো , 563,আমাদের , 435,মধ্যে , 330,একটা , 402,এখন , 404
কাছে , 339,ছিল , 197,বাংলার , 313,এমন , 426,মানুষ , 627,তখন , 212,কি , 529,গেছে , 431,করতে , 319,বা , 401,সেই , 397
করেন , 338,কথা , 187,গুল্ম , 308,সে , 421,হয়েছে , 624,সময় , 212,তবে , 518,তো , 427,হয় , 310,কথা , 370,কে , 393
আবার , 331,দেশে , 184,লতা , 306,শুরু , 417,হচ্ছে , 616,শেষ , 210,তারা , 516,মতো , 368,আমাদের , 305,তারা , 370,ওর , 384
দিকে , 329,বর্তমান , 183,ছবি , 293,বা , 414,যখন , 616,ভাবে , 205,তাদের , 515,করা , 363,টাকা , 300,সময় , 367,দিয়ে , 383
হল , 321,প্রশ্ন , 181,নিয়ে , 287,তারা , 392,আর , 615,হচ্ছে , 203,তাকে , 495,সময় , 338,সময় , 294,কাছে , 366,কাছে , 356
থাকে , 318,আমি , 180,এর , 287,আমরা , 388,খুব , 594,পর , 199,ভালো , 470,আমরা , 336,চলে , 293,সব , 364,থাকে , 356
তাই , 311,দিয়ে , 177,হবে , 283,বলে , 386,একজন , 584,বলে , 189,তুমি , 464,গিয়ে , 333,দেখে , 292,করার , 362,রঙের , 329
শুরু , 310,ভাবে , 175,জন্য , 281,একটা , 373,অনেক , 575,কী , 188,কাছে , 455,দিকে , 331,করা , 287,নেই , 350,তখন , 302
আছে , 303,সময় , 172,দেখা , 279,বেশ , 368,নয় , 521,হয়েছে , 188,আমরা , 451,আরো , 320,আমাকে , 286,যায় , 336,বসে , 298
নেই , 303,কেন , 169,দিকে , 278,একটি , 363,দেশে , 508,পারে , 188,মত , 446,শুরু , 319,হবে , 282,হিসেবে , 335,হবে , 290
যায় , 296,তারা , 165,ফল , 269,বিশেষ , 362,যদি , 506,করার , 181,সেই , 445,এত , 316,কাছে , 275,হতে , 335,আগে , 283
কিংবা , 282,কিছু , 164,তরু , 260,প্রথম , 360,পারে , 492,যদি , 181,তোমার , 439,আগে , 316,সব , 264,হয়েছে , 335,তবে , 282
অনেক , 279,আছে , 162,বড় , 256,বছর , 358,এক , 489,আছে , 177,বেশ , 439,থাকে , 315,হাতে , 263,পর , 333,নাম , 273
