শেষ পর্যন্ত
সাধারণ সম্পাদক
ঠিক মত
বেগম খালেদা
না এমন
দৈনিক সংবাদ
মনে হচ্ছে
জন্মগ্রহণ করেন
সাথে কথা
সর্বশেষ এডিট
কোন দিন
হয়ে উঠল
পর্যন্ত তিনি
মনে হলো
হয় তবে
এবং এই
মনে রাখতে
এমন কী
সাধারণ মানুষের
জানি না
হয়ে গেছে
শেখ মুজিবুর
মহান মুক্তিযুদ্ধের
আমি কি
সে সময়
চলে গেল
হঠাৎ করেই
যেতে পারে
সব সময়
এডিট ২৬
লাল রঙের
অমর একুশে
দায়িত্ব পালন
তিনি ঢাকা
হওয়ার পর
শেখ হাসিনার
বোধ হয়
কিছু না
না তবে
আমরা জানি
সাল পর্যন্ত
করা হবে
খুব ভালো
না তার
আওয়ামী লীগের
খালেদা জিয়ার
যুদ্ধাপরাধীদের বিচার
একুশে বইমেলা
আজ এই
না কিন্তু
২০০৯ দুপুর
করতে পারি
দৈনিক ভোরের
ঢাকা শনিবার
আমাদের শ্রদ্ধাঞ্জলি
পারলাম না
বিরোধী দলের
হয়ে গেল
এর মধ্যে
পাস করেন
জামায়াতে ইসলামীর
শুক্রবার প্রকাশিত
ঠিক আছে
সালে তিনি
ছিল না
বের হয়ে
আমার দিকে
ফুলেল শুভেচ্ছা
কথা বলে
বাংলা একাডেমি
রেজা ঘটক
হয়ে যায়
করতে হবে
এই কথা
টের পায়
পক্ষ থেকে
অর্জন করেন
পারছে না
আর আমি
কোনো এক
না করে
কথা মনে
নদীর পাড়ে
পাওয়া যায়
মানে কি
সহজ সরল
বাংলা একাডেমী
তারপর বলল
থাকে না
জানা গেছে
নয় বরং
ভোরের কাগজ
একুশে পদক
হত্যা করা
পারে না
পারে নি
যে কারণে
বাংলা সাহিত্যের
মনে করেন
দেখা যায়
কী ভাবে
বর্তমান সরকার
এই যে
দলীয় জোটের
না আমার
বঙ্গবন্ধু শেখ
চাই না
আন্তর্জাতিক অপরাধ
জাতীয় সংসদ
আমার সাথে
নামে একটি
ওর দিকে
জন্মদিন জন্মদিনে
অন্য কোনো
না কেন
না আমি
করা যায়
করেন তাঁর
পারি না
তিনি ছিলেন
প্রধানমন্ত্রী শেখ
আর কোন
ইচ্ছা করে
যেতে থাকে
বিশেষ করে
কথা না
হবে না
আর কিছু
এর পর
ওর সাথে
আজকের দিনে
না বলে
প্রতি আমাদের
মনে করি
তিনি তার
২৬ শে
রাখতে হবে
মাঝে মাঝে
অবদানের জন্য
পোড়াও পোড়াও
জন্য তিনি
তারেক রহমান
পারি নি
কোন কথা
মনে মনে
এমন একটা
সাল থেকে
ছিলেন তিনি
সেখান থেকে
তিনি তাঁর
না তারা
সত্যি সত্যিই
আমি জানি
৩১ শে
রচনা করেন
কেউ কেউ
করেন এই
তিনি বলেন
হেফাজতে ইসলামের
বলা হয়
সেই সঙ্গে
আর সেই
তারেক রহমানের
হুমায়ূন আহমেদ
যাবে না
ছিলো না
চুপ করে
অবাক হয়ে
এডিট ২৭
পুরস্কার লাভ
দেয়া হয়েছে
প্রথম আলো
এখন পর্যন্ত
শে ডিসেম্বর
আমাদের গভীর
