Emon Jubayer,value,Hasan Mahbub,value,Kandari Athorbo,value,MZI,value,Nir Shondhani,value,Tareque Anu,value
www banglapedia org HT,10,gone Long time ago,5,ta love your man,6,কিছু হতে পারে না,8,অবাক হবার কিছু নেই,3,মিশন নাগাল্যান্ড মিশন কামাখ্যা,5
হক তাঁর বঙ্গে স্বূফী,9,Long time passing Where,5,শেষে এলো খুশির ঈদ,6,আমি এবং আমার স্ত্রী,8,আমরা তোমাদের ভুলে গেছি,3,ওল্ড ম্যান অ্যান্ড দ্য,4
তাঁর বঙ্গে স্বূফী প্রভাব,9,time ago Where have,5,রমজানের রোজার শেষে এলো,6,আগে হোক পরে হোক,7,সুখ আহা কত সুখ,3,আবুল কালাম মোহাম্মদ জাকারিয়ার,4
এনামুল হক তাঁর বঙ্গে,9,time passing Where have,5,রোজার শেষে এলো খুশির,6,সব বিশ্ববিদ্যালয় মিলে একটি,7,কে শোনে কার কথা,3,কেবলই দৃশ্যের জন্ম হয়,4
গাউসুল আজম মাইজভান্ডারী খুইলাছে,9,ever learn Where have,4,once you re mine,6,আমি আর আমার স্ত্রী,7,Ahmed Dec 16 2011,3,বাংলাদেশ বার্ড ক্লাবের প্রতিষ্ঠাতা,4
ডক্টর আবিদ আলী বললেন,9,learn Where have all,4,সামহোয়্যার ইন ব্লগের সাথে,5,তরুণ লেখক জিয়া হায়দার,7,দরোজা বন্ধ করে দিল,3,সোয়াচ অফ নো গ্রাউন্ড,4
মুহম্মদ এনামুল হক তাঁর,9,কালো অবহেলা সাদা ঔষধ,4,ব্লগ বাঁধ ভাঙার আওয়াজ,5,শহীদ জননী জাহানারা ইমাম,7,পারে যে কোন সময়,3,উঠে আসুক নতুন প্রজন্মের,3
রাবুমামা চুপ করে রইলেন,8,করা যায় কী না,4,একটা সময় ছিলো যখন,5,অন্যদের কথা জানি না,7,পড়িনি প্রেম আমার উপরে,3,কালাম মোহাম্মদ জাকারিয়ার বাংলাদেশের,3
ডা স্মরণজিৎ চক্রবর্তী বললেন,8,learn When will they,4,নারী শিশু নির্যাতন দমন,5,কাঁটা এক ঘণ্টা এগিয়ে,7,কাউকে কিছু না বলে,3,১৩ ১৪ ১৫ ১৬,3
বলে রাবুমামা চুপ করে,8,সত্যি কথা বলতে কী,4,শুনতে কি পাও তুমি,5,ঘড়ির কাঁটা এক ঘণ্টা,7,রাস্তার পাশের দোকান থেকে,3,এই সিরিজের বাকী পর্বগুলো,3
কথা শেষ হল না,8,one When will they,4,ইন ব্লগ বাঁধ ভাঙার,5,বলে মনে হয় না,7,আছে কিনা জানা নেই,3,যে অঞ্চলে আছেন অন্তত,3
সুলতান দ্বিতীয় বায়োজিদ এর,7,সাদা ঔষধ সাদা ঔষধ,4,১৯ শে ডিসেম্বর ২০১৩,5,যখন ছোট ছিলাম তখন,6,তো প্রেমে পড়িনি প্রেম,3,বার্ড ক্লাবের পক্ষ থেকে,3
বুক ধক করে উঠল,7,সাদা ঔষধ কালো অচ্ছ্যুতভাব,4,৫ম বাংলা ব্লগ দিবস,5,আমি জানি এই দেশের,6,সমুদ্র শান্ত না হওয়া,3,Letters on sport in,3
ডাউনলোড লিঙ্ক http www,7,রজনীগন্ধা ছাড়া যেকোন সাদা,4,দেখে মনে হচ্ছে যেন,5,তুই রাজাকার তুই রাজাকার,6,মেনে নেয়া যায় না,3,১৮ ১৯ ২০ ২১,3
বঙ্গে স্বূফী প্রভাব বইয়ে,7,they ever learn Where,4,তার প্রোফাইলে লিখে রেখেছেন,5,বছর আগে আমি যখন,6,ছাড়া আর কেউ নেই,3,ক্লাবের প্রতিষ্ঠাতা ইনাম আল,3
এখানেই বলে রাখি যে,7,ইমাম সাব শুরু করেন,4,এই কথা শোনার পর,5,নিজের চোখে দেখেও বিশ্বাস,6,আমি তো প্রেমে পড়িনি,3,বড় ভাই তানভীর অপু,3
জার্মান প্রত্নতাত্ত্বিক ক্লাউস স্মিডস,6,সে বুঝতে পারে না,4,আমার মাথায় হাত বুলিয়ে,5,আমার মনে হয় এই,6,পকেট থেকে সিগারেট বের,3,২০ ২১ ২২ ২৩,3
মনের ময়লা যাবে কেমনে,6,gon na change my,4,নয় দশ বছরের কম,5,তার কোনো তুলনা নেই,6,কোথায় যাবে জানে না,3,২২ ২৩ ২৪ ২৫,3
গুরু আমার মনের ময়লা,6,কালো অবহেলা কালো দুঃস্বপ্ন,4,মন্ত্রে বলা হয়েছে তিনি,4,না আমার জানা নেই,6,দেখাশোনা করার কেউ নেই,3,ছড়াকার লুৎফর রহমান রিটন,3
নারী জগতের আদি কারণ,6,they ever learn When,4,মাথায় হাত বুলিয়ে দিয়ে,4,এক ধরনের বিস্ময় নিয়ে,6,সবাই হৈ হৈ করে,3,আপনি কি দায়িত্ব নেবেন,3
১২ টা বেজে মিনিটে,6,ছাড়া যেকোন সাদা ফুল,4,Please Sir accept the,4,জনতা তুই রাজাকার তুই,6,প্রেম আমার উপরে পড়েছে,3,বুনোপ্রাণীর ইতিহাস ঢাকা রাজশাহী,3
সৈয়দ গোলামুর রহমান এর,6,মোহাম্মদ মকবুল আহমেদ গ্রাম,3,হা হা হা হা,4,এক জায়গা থেকে অন্য,6,প্রেমে পড়িনি প্রেম আমার,3,২১ ২২ ২৩ ২৪,3
১২ টা বেজে মিনিট,6,have all the flowers,3,ব্লগ লিখেছেনঃ সপ্তাহ দিন,4,জায়গা থেকে অন্য জায়গায়,6,পারে কোন তথ্য প্রকাশের,3,তাতে কোন সন্দেহ নেই,3
আমার মনের ময়লা যাবে,6,কথা বলতে পারে না,3,নির্যাতন দমন আইন ২০০০,4,একটা সময় ছিল যখন,6,কোথাও কোন শব্দ নেই,3,প্রতিষ্ঠাতা ইনাম আল হকের,3
ঠিক বুঝতে পারলাম না,6,কেন যেন মনে হচ্ছে,3,আমরা প্রতিবাদ করতে জানি,4,কোনো একটা অজ্ঞাত কারণে,6,আহা কত সুখ আহা,3,Love in the Time,3
লিঙ্ক http www mediafire,6,পাইকপাড়া মিরপুর ঢাকা হইতে,3,ব্লগার তাসনুভা সাখাওয়াত বিথি,4,গাইড বই থেকে প্রশ্ন,6,কত সুখ আহা কত,3,গত কয়েকশ বছর ধরে,3
ভাইস মার্শাল শরীফউদ্দীন আহমেদ,6,পরিণাম বলে চালিয়ে দেয়া,3,নাচ দেখে মুগ্ধ হবে,4,বিখ্যাত তরুণ লেখক জিয়া,6,কিন্তু কে শোনে কার,3,রাখা হয়েছে বাংলার নামে,3
ধর্ম সংস্কৃতি প্রাচীন ভারতীয়,6,অদৃষ্টের পরিণাম বলে চালিয়ে,3,তুমি বীণা নাহি লাগে,4,পাবলিক পরীক্ষার কথা বলা,6,বের করে ফস করে,3,নতুন প্রজন্মের কাছে আপনি,3
খুইলাছে রে মওলা স্কুল,6,পোঃ দোগাছি জিলা পাবনা,3,রাশির ব্লগারদের লগ্ন পতি,4,যখন ছোট ছিলাম তখন,6,শান্ত না হওয়া পর্যন্ত,3,লোভ সামলাতে পারলাম না,3
রে মওলা স্কুল খুইলাছে,6,ছুটি ছুটি ছুটি ছুটি,3,যাই বলি না কেন,4,পি এইচ ডি করতে,6,করা ঠিক হবে না,3,বিএমটিসি চুলু ওয়েস্ট জয়,3
এমপি থ্রি ডাউনলোড লিঙ্ক,6,নিয়ে এসো আমার জন্যে,3,got ta love your,4,অস্বীকার করতে পারবে না,6,অফিস থেকে ফেরার পথে,3,ছিলেন কুমার শরৎকুমার রায়,3
বাবা মারা যাওয়ার পর,6,শুনতে চাও আমার কাছে,3,বিকল্প গণমাধ্যম হিসেবে ব্লগের,4,তো হতে পারে না,5,কদিন মলিন চেহারার দরিদ্র,2,১৫ ১৬ ১৭ ১৮,3
স্কুল খুইলাছে রে মওলা,6,খুব একটু বেগ পেতে,3,মোর প্রিয় মধুবীনা নাহি,4,কোনো একটা বিচিত্র কারণে,5,কষ্ট তার ভিক্ষা করার,2,www youtube com watch,3
বঙ্গে স্বূফী প্রভাব পৃষ্ঠা,6,কী না কে জানে,3,ব্লগার মোস্তফা কামাল পলাশ,4,না আমি জানি না,5,উঠে হাতমুখ ধুয়ে রান্নাঘরের,2,ব্যবহার করা যাবে না,3
থ্রি ডাউনলোড লিঙ্ক http,6,কী না জানি না,3,সিট্রাস আইসড সুইট টি,4,কেউ অস্বীকার করতে পারবে,5,সাথে কিছু চকচকে কয়েন,2,বাংলাদেশের জন্য নতুন পাখি,3
এয়ার ভাইস মার্শাল শরীফউদ্দীন,6,ফুল নিয়ে এসো আমার,3,টাকা বরাদ্দ রাখা হয়েছে,4,আমরা যখন ছোট ছিলাম,5,বাড়ীতে ভোজন করে রাতে,2,১৯ ২০ ২১ ২২,3
না আমার দায় যাদুধন,5,সুন্দর হব একটু একটু,3,ক্ষমা সুন্দর দৃষ্টিতে দেখার,4,আমাদের দেশের বড় বড়,5,গেলো তবু কি আশ্চর্য,2,কাছে আপনি কি দায়িত্ব,3
দেবনাথ সিন্ধু থেকে হিন্দু,5,প্রতি গুলজার আহমেদ ৩৫৩,3,Video Massage to your,4,সবাইকে মনে করিয়ে দেওয়া,5,নিয়ে মুরগীর ঝোল দিয়ে,2,অন্তত সেখানের গল্প শোনানোর,3
আমার মায়ের মুখে শুনেছি,5,ব্যাপারে কোন সন্দেহ নেই,3,জানি তোমার ভয় নেই,4,আছে বলে আমার জানা,5,জন্য নস্যি জীবনে যতবার,2,চেয়ে বড় নেশা আর,3
সাংবাদিক মোশতাক আন্দালিব কে,5,ব্যাপারটা এমন না যে,3,শীতবস্ত্র বিতরণ কার্যক্রম সফল,4,বিশ্ববিদ্যালয় মিলে একটি সমন্বিত,5,বাসটা তাকে যেখানে খুশী,2,বৈজ্ঞানিক নাম রাখা হয়েছে,3
হাজার বছরের বাঙালি সংস্কৃতি,5,na change my worldNothing,3,আমার নাচ দেখে মুগ্ধ,4,নিজের চোখে না দেখলে,5,মধ্যে কিন্তু আজ সকালে,2,কনরাড লোরেঞ্জের কিং সলোমনস,3
চৌধুরি থিরিথুধম্মা আর অমঙ্গলী,5,have all the soldiers,3,সামহোয়্যার ইন ব্লগ বাঁধ,4,মনে না করে আমি,5,রাখে একরকম ফুলমতীর মুখের,2,জেলার বুনোপ্রাণীর ইতিহাস ঢাকা,3
জামাই ইন্ডিয়ার প্রেসিডেন্ট হইছে,5,মিরপুর ঢাকা হইতে মোহাম্মদ,3,নাহি লাগে মোর জিয়া,4,হতে পারে বলে আমার,5,আমি প্রথম দেখি তখন,2,পল সাত্রের আত্নজীবনী শব্দেরা,3
org HT 0217 HTM,5,Letter No Incoming From,3,Wave 100 gm of,4,আমার খুব জানার ইচ্ছে,5,হতে দিতে পারি না,2,Indian Smooth coated Otter,3
স্বূফী প্রভাব বইয়ে লিখেছেন,5,the young men gone,3,দৃঢ়ভাবে বিশ্বাস করি যে,4,কেউ অস্বীকার করবে না,5,জোরে হাঁটছিল যেন কোন,2,টানে সবাইকে কিন্তু বাঁধনে,3
দ্য কাল্ট অভ আহরিমান,5,তার সাথে কথা বলতে,3,এস পি ওয়াই সেরা,4,না ঠিক সে রকম,5,আমার এত সাধের গেলাসটা,2,আই অফ দ্য টাইগার,3
চ্যানেল ফর্টি নাইন এর,5,কাছে নিজেকে সমর্পণ করে,3,perfect storm perfect storm,4,সেটি নিজের চোখে দেখেও,5,কে দেবে টাকা ভিক্ষা,2,যাওয়া কাহিনী উঠে আসুক,3
ইন্সপেক্টর সোহরাব আলী বললেন,5,বাসের ভেতর মানুষ বাড়ছে,3,from Wave 100 gm,4,সেক্টর কমান্ডারস ফোরামের সদস্যরা,5,পার করার পর চতুর্থ,2,আবার দেখা হবে গতকালের,3
ইন্টারনেট তথ্যসূত্র http www,5,অবহেলা সাদা ঔষধ সাদা,3,the request from Wave,4,মিলে একটি সমন্বিত ভর্তি,5,ভাতও খায়নি পেট ভরে,2,আমরা চাই এভাবেই দেশের,3
Years flow like water,5,সিগারেটের দাম বাড়ে এক,3,100 gm of 33,4,লেখক জিয়া হায়দার রহমান,5,গোরস্থানে লাশ কবরে নামিয়ে,2,১১ ১২ ১৩ ১৪,3
আমার উস্তাদ জামশেদ পীর,5,থেকে বের হবার সময়,3,request from Wave 100,4,বিশ্বাস করতে পারি না,5,মাজারের পাশে বসে গিয়েছিল,2,হারিয়ে যাওয়া কাহিনী উঠে,3
আমি আমার মায়ের মুখে,5,কালো ভয় কালো অবহেলা,3,Sir accept the request,4,পারে বলে আমার জানা,5,দরজার বাইরে মলিন মুখ,2,বার্ড ক্লাবের প্রতিষ্ঠাতা ইনাম,3
বাংলার ইতিহাস ১২০৪ ১৭৬৫,5,the young girls gone,3,Massage to your Cornea,4,না সত্যি কথা বলতে,5,কবরের কাজে লাগিয়ে দিল,2,১৭ ১৮ ১৯ ২০,3
হযরত মোহাম্মদ চার খলিফার,5,সব ঠিক হয়ে যাবে,3,Girl ya got ta,4,হতে পারে না আমি,5,চলে যাচ্ছে খানিক বাদে,2,জনপদের হারিয়ে যাওয়া কাহিনী,3
বাঙালি বাঙালীত্ব পৃষ্ঠা ৪১,5,খুব একটু ভালো না,3,লাখ টাকা বরাদ্দ রাখা,4,অন্যের জন্য কিছু একটা,5,অবাক হবার আগেই আকাশ,2,ম্যান অ্যান্ড দ্য সী,3
কর সনাতনধর্ম মত মতান্তর,5,আহমেদ ৩৫৩ পাইকপাড়া মিরপুর,3,ভয় নেই মা আমরা,4,জানি না কিন্তু আমি,5,শরীরকে কাবু করতে পারেনি,2,কিন্তু বাঁধনে জড়ায় না,3
কান্দিস না আমার দায়,5,all the young girls,3,of 33 Bit Video,4,আমার মনে হয় আমাদের,5,এলো না সে কি,2,the Time of Cholera,3
প্রসঙ্গে আহমদ শরীফ লিখেছেন,5,করে থাকতে পারে না,3,সুন্দর দৃষ্টিতে দেখলেই খুশি,4,আমি নিজের চোখে না,5,অপমানে এক কাপড়েই ঘর,2,প্রতিটি জনপদের হারিয়ে যাওয়া,3
জনপদ থেকে রাজধানী ঢাকা,5,all the young men,3,মা আমরা প্রতিবাদ করতে,4,এই বই পড়তে হবে,5,তালাটা ঠুস করে খুলে,2,১৪ ১৫ ১৬ ১৭,3
বাংলার সুলতান শামসুদ্দীন ইলিয়াস,5,my worldNothing gon na,3,দুর্যোধন ব্লগার কাল্পনিক ভালবাসাকে,4,চৌধুরী মুঈন উদ্দিন আর,5,উদ্দেশ্য করে বলা হলেও,2,পাখি বিশেষজ্ঞ ইনাম আল,3
সাংখ্য দর্শনের প্রবর্তক কপিল,5,ঔষধ কালো অচ্ছ্যুতভাব কালো,3,বীণা নাহি লাগে মোর,4,চোখে দেখতে পায় না,5,পাশের পুরোনো একটা কবরে,2,চাই এভাবেই দেশের প্রতিটি,3
মরিলে কান্দিস না আমার,5,ঔষধ সাদা ঔষধ কালো,3,ya got ta love,4,আমরা যখন ছোট ছিলাম,5,গেছে আসার পথেই মরতে,2,peace for all mankind,3
বাবা অধ্যাপক কাজী রফিকুল,5,একে অপরের সাথে দেখা,3,অবেলায় সময় এসেছে প্রস্থানের,4,কি না জানি না,5,কাঁদবে সকালের গালাগালির জন্য,2,অন্য জেলার বুনোপ্রাণীর ইতিহাস,3
নিউ এজ মিউজিক এর,5,মৃদু হাসি খেলা করে,3,সম্পর্কে যা জানা যায়,4,থেকে কোনো অংশে কম,5,বসে গিয়েছিল বহু কষ্টে,2,Oriental Small clawed Otter,3
কার্তিক মাসের সাত তারিখ,5,তোমাকে ভালোবাসি তুমি কি,3,accept the request from,4,আমরা সবাই জানি এই,5,আমি লিফটে উঠে ১৪,2,মোহাম্মদ জাকারিয়ার বাংলাদেশের প্রাচীন,3
সংস্কৃতি প্রাচীন ভারতীয় প্রেক্ষাপট,5,শূচিস্মিতা শূচিস্মিতা শূচিস্মিতা শূচিস্মিতা,3,আমাকে ক্ষমা সুন্দর দৃষ্টিতে,4,কী কারণ জানা নেই,5,কিনলে খরচ হয় ৫০,2,in peace for all,3
বিজন জনপদ থেকে রাজধানী,5,এর চেয়ে এক কাজ,3,নেই মা আমরা প্রতিবাদ,4,আমি যখন এটা লিখছি,5,সাথে মেলাতে পারি না,2,http www youtube com,3
banglapedia org HT 0217,5,all the soldiers gone,3,ছাড়া আর কিছুই নয়,4,মাঝে মাঝেই মনে হয়,5,রইলো কোথায় যাবে জানে,2,পাতা থেকে উঠে আসা,3
খোঁচা খোঁচা পাকা দাড়ি,5,না শোনার ভান করে,3,প্রিয় মধুবীনা নাহি লাগে,4,সেটা তো হতে পারে,5,কিছু শুনতে পাচ্ছে না,2,১৬ ১৭ ১৮ ১৯,3
বাঙলা বাঙালি বাঙালীত্ব পৃষ্ঠা,5,বেসামাল মাল তুমি ডার্লিং,3,সাথে কথা বলে জানা,4,অবাক হবার কিছু নেই,4,ভাইঙ্গা দিলি দুর আমার,2,সুন্দর দিন কাটাইতাম আমরা,3
মহানবী হযরত মোহাম্মদ চার,5,তিনি ভয় পেতে পারতেন,3,এক কাপ কফি বানিয়ে,4,আমার কিছু করার নেই,4,তাড়াহুড়ো করে নেমে গেল,2,দ্য আই অফ দ্য,3
আজগর খান এবং নূর,5,বছর অর্জন বিসর্জন এবং,3,33 Bit Video Massage,4,যারা আমার কথা বিশ্বাস,4,তাহলে খানিক আগে আমি,2,আমার জীবনের আনন্দ জীবনানন্দ,3
মাইসাং চৌধুরি থিরিথুধম্মা আর,5,দাম বাড়ে এক টাকা,3,তোমার ভয় নেই মা,4,আমি জানি না কিন্তু,4,লাশ দাফন করতে আসা,2,করা সম্ভব হয় নি,3
ডক্টর গোলাম মোর্তোজা বললেন,5,ঢাকা হইতে মোহাম্মদ মকবুল,3,ready for ready for,4,এই দেশের মানুষ হিসেবে,4,অমূল্য মাষ্টারের বিয়েটা আমাদের,2,১০ ১১ ১২ ১৩,3
আমার চোখ আটকে গেল,5,সাত বছর অর্জন বিসর্জন,3,ক্ষমা সুন্দর দৃষ্টিতে দেখলেই,4,হওয়ার কথা ছিল না,4,যতবার কবরে নেমেছে অতবেলা,2,বছর ধরে চলে আসা,3
বলে মনে করা হয়,5,৩৫৩ পাইকপাড়া মিরপুর ঢাকা,3,আমি একটা সিগারেট ধরিয়ে,4,আওয়ামী লীগের যুগ্ম সাধারণ,4,জানে না কিন্তু এই,2,মরে আজও তবু কেবলই,3
ঝিলাই নদীর চরে পিকনিক,4,অর্জন বিসর্জন এবং কিছু,3,নাহি লাগে মোর হিয়া,4,বই থেকে প্রশ্ন তুলে,4,হয় ৫০ ০০০ ০০০,2,নেবেন যে অঞ্চলে আছেন,3
তারপর ফোন অফ করে,4,কে শোনে কার কথা,3,আমাকে তুমি আদর কর,4,অবাক হয়ে আবিষ্কার করলাম,4,না কিন্তু সে সমুদ্রের,2,দায়িত্ব নেবেন যে অঞ্চলে,3
তারাই তো সুখি না,4,মেনে নিতে পারে না,3,কোন মাথা ব্যথা নেই,4,বিস্ময় নিয়ে আবিষ্কার করলাম,4,দুই ফাঁক হয়ে গেছে,2,দেশের প্রতিটি জনপদের হারিয়ে,3
হতে পুনরায় ঘনীভূত হয়ে,4,অবিকল তার মত দেখতে,3,সমস্যা দেখা দিতে পারে,4,দেখেও না দেখার ভান,4,এই জগত ছেড়ে তার,2,প্রজন্মের কাছে আপনি কি,3
মাথায় ছোট ছোট করে,4,অবহেলা কালো দুঃস্বপ্ন সাদা,3,বড় বেশি অবেলায় সময়,4,আমার সাথে যোগাযোগ করে,4,হায় হায় করে তাকে,2,কাটাইতাম আমরা আগে কি,3
শোকের কারণ অপক্ক দেহ,4,ভালোবাসি তুমি কি আমার,3,gm of 33 Bit,4,কেউ কল্পনা করতে পারবে,4,রাতটা কোনমতে পার করে,2,ওয়েব পেজ থেকে নেওয়া,3
না তারাই তো সুখি,4,আহমেদ গ্রাম মুনিবপুর পোঃ,3,Bit Video Massage to,4,কিছু আসে যায় না,4,ক্লাস এইটে পড়ার সময়,2,শকুন White rumped Vulture,3
খুইলাছে হই হই গাউসুল,4,গ্রাম মুনিবপুর পোঃ দোগাছি,3,বেশি অবেলায় সময় এসেছে,4,পাবলিক পরীক্ষা অনুষ্ঠিত হবে,4,পরবর্তী পঁচাত্তর বছর যে,2,জ্য পল সাত্রের আত্নজীবনী,3
অপক্ক দেহ যোগরূপ অগ্নিদ্বারা,4,যদি শুনতে চাও আমার,3,লেবু দিয়ে মাংস রান্না,4,তাদেরকে এই বই পড়তে,4,লোকজন হায় হায় করে,2,১২ ১৩ ১৪ ১৫,3
বললাম এই কারণে যে,4,মেনে নেয়া যায় না,3,মধুবীনা নাহি লাগে মোর,4,গ্যারান্টি দিয়ে বলতে পারি,4,সে সমুদ্রের দিকে যাচ্ছে,2,চুলু ওয়েস্ট জয় করেছে,3
থেকে ৪০ ০০০ বছর,4,চাল কালো অবহেলা সাদা,3,আমরা দৃঢ়ভাবে বিশ্বাস করি,4,না সেটা তো হতে,4,বুঝতে পারলো বজ্রপাতে মারা,2,জীবনানন্দ আমার জীবনের আনন্দ,3
ছালা পুনরপি যোগী হৈব,4,আইন নিজের হাতে তুলে,3,শিশু নির্যাতন দমন আইন,4,আমি ফাঁস হওয়া প্রশ্ন,4,আরো অনেক অকথ্য গালিগালাজ,2,কেউ বলতে পারে না,3
পক্ক করে সিদ্ধদেহ বা,4,আমার দিকে তাকিয়ে আছে,3,for ready for perfect,3,চল্লিশ বছর আগে আমি,4,করা মাটির অবস্থা বুঝে,2,আছেন অন্তত সেখানের গল্প,3
শিল্পীর চোখে কুকুটেনি ট্রাইপিলিয়ানস,4,আমাকে ছেড়ে চলে গেছে,3,জাগো গো ভগিনী জাগো,3,আমার কাছে জানতে চেয়েছে,4,থাকলেও মাজারের পাশে বসে,2,বাংলাদেশ বার্ড ক্লাবের পক্ষ,3
অকৃত্রিম উৎপত্তিস্থল একমাত্র শূন্য,4,all the flowers gone,3,স্বাধীন মত প্রকাশের সুবিধা,3,দুটি পাবলিক পরীক্ষার কথা,4,শুরু করলো পেটের ভেতর,2,অঞ্চলে আছেন অন্তত সেখানের,3
মীননাথ বলতেন মানুষের দুঃখ,4,সাথে কথা বলতে গিয়ে,3,আওয়াজ মাতৃভাষা বাংলায় একটি,3,আমরা সবাই জানি আমাদের,4,থাইকতে তোর খন অসুবিধা,2,শতাব্দীর পর শতাব্দী ধরে,3
মানুষের দুঃখ শোকের কারণ,4,হতে দেয়া যাবে না,3,তিনি তার কবিতায় লিখেছেন,3,কিছু হতে পারে বলে,4,নেই ঠান্ডু মিয়া ছাড়া,2,কাহিনী উঠে আসুক নতুন,3
গায়ে ভস্ম ঝুলি ছালা,4,হইতে মোহাম্মদ মকবুল আহমেদ,3,লেখকঃ শ্রীজগদীশ চন্দ্র ঘোষ,3,মাত্র দুটি পাবলিক পরীক্ষার,4,পঁচাত্তর বছর যে তার,2,সবাইকে কিন্তু বাঁধনে জড়ায়,3
যাদের মেঘলা দিনে মন,4,ব্লগিংয়ে সাত বছর অর্জন,3,একজন বীমা কর্মকর্তা খুন,3,হবে আমরা জানি না,4,পিতামাতাহীন করা রাগ করে,2,এক পুরনো বইয়ের দোকানে,3
বা শিবত্ব বা অমরত্ম,4,সুবিধের মনে হচ্ছে না,3,able to carry their,3,আমি এক ধরনের বিস্ময়,4,না কিন্তু এই জায়গা,2,যেমন আছে তেমনি আছে,3
হয় সে যাই হোক,4,গল্প যদি শুনতে চাও,3,সহ্য করতে না পেরে,3,বুকে হাত দিয়ে বলতে,4,আধকাপ চা আর একটা,2,in the Time of,3
করা হয় চৈতন্যময়ী প্রকৃতিকে,4,মুনিবপুর পোঃ দোগাছি জিলা,3,আমি প্রত্যক জাতির কাছে,3,না আমরা জানি না,4,ঘরে নিয়ে মুরগীর ঝোল,2,সবচেয়ে বেশি দেখা মেলে,3
এন এম হাবিব উল্লাহ,4,তো প্রশ্নই ওঠে না,3,আমি আগে তোমাকে নবী,3,মুঈন উদ্দিন আর আশরাফুজ্জামানের,4,এরকম একজনকে পিতামাতাহীন করা,2,শেয়ার করার লোভ সামলাতে,3
হৈব কর্ণে কড়ি দিয়া,4,গুলজার আহমেদ ৩৫৩ পাইকপাড়া,3,আপনার জন্য শুভকামনা রইল,3,আমি যখন এই লেখাটি,4,ব্যবস্থা করে দেয় একেকভাবে,2,আসুক নতুন প্রজন্মের কাছে,3
