 ,Emon Jubayer,Hasan Mahbub,Kandari Athorbo,MZI,Nir Shondhani,Tareque Anu
বর্ণনা,21,17,22,17,5,74
বলল,711,12,67,122,4,75
বললেন,496,15,49,98,59,99
বললো,0,27,1,2,204,0
বাংলা,85,25,121,98,41,103
বাংলাদেশে,34,0,15,50,51,89
বাংলাদেশের,62,6,76,232,76,122
বাংলার,229,1,36,5,10,83
বাংলায়,111,5,6,14,9,19
বাইরে,81,52,73,72,124,8
বিভাগের,7,0,6,28,3,17
বিভিন্ন,16,30,131,22,13,22
বিশাল,70,80,31,119,70,231
বিশেষ,62,87,116,42,58,357
বিশ্ববিদ্যালয়,10,6,6,145,13,0
বিশ্বে,9,1,9,0,4,52
বিষয়,34,31,86,180,25,12
বিস্তৃতি,1,1,0,0,1,3
বৃদ্ধ,169,20,4,3,4,6
বেশি,87,260,184,284,0,121
বেশী,0,1,46,57,214,192
বৈজ্ঞানিক,13,1,9,5,2,24
ব্লগ,2,60,248,11,22,18
ব্লগার,6,59,606,27,2,2
বড়,302,224,190,672,242,134
ভর্তি,25,13,44,240,45,31
ভাবে,90,63,177,37,29,247
ভাল,1,10,171,11,7,131
ভালো,189,449,88,330,201,49
ভীষণ,102,83,122,1,20,23
ভেতর,0,164,158,182,82,10
ভয়,44,157,36,50,70,12
মত,49,394,190,68,5,526
মতন,181,5,29,3,0,16
মতো,62,202,288,374,368,60
মাঝে,62,95,310,354,141,526
মানুষ,204,214,307,674,275,330
মানে,249,98,54,28,106,128
যদি,37,252,272,539,154,160
যদিও,41,59,69,24,51,225
যায়,0,10,77,50,6,267
যারা,32,59,115,372,98,111
রকম,59,31,80,357,25,33
রঙের,287,32,74,5,27,38
রয়েছে,0,0,17,9,0,16
লম্বা,44,18,23,27,10,64
লাল,103,41,66,20,38,98
লিখেছেন,128,8,29,19,7,22
লেখাপড়া,4,0,0,159,1,5
শিকার,23,18,44,7,5,105
শিব,114,0,5,0,0,8
সঙ্গে,493,11,126,416,28,36
সত্যি,34,52,32,193,59,21
সবাই,56,212,104,450,130,100
সবুজ,66,40,15,31,53,128
সরকার,18,8,29,189,49,9
সাথে,7,810,724,326,660,1083
সাধারণত,10,17,20,10,0,71
সারা,30,21,34,194,37,184
সালে,113,2,114,74,40,155
সিগারেট,48,33,160,0,47,2
সেই,367,442,643,1275,733,1240
সেটা,20,132,140,761,166,117
সেটি,54,6,14,481,10,52
স্বভাব,11,6,9,0,0,7
হচ্ছে,77,207,247,651,114,264
হয়,0,12,230,100,8,457
হল,691,88,131,92,3,454
হলো,2,276,352,246,594,29
হয়,587,950,760,1102,607,395
হয়ত,4,1,122,0,1,100
হয়তো,77,137,26,110,84,9
হয়ে,702,1206,846,798,793,306
হয়েছিল,196,3,19,198,82,99
হয়েছে,224,329,382,663,228,160
