 ,Emon Jubayer,Hasan Mahbub,Kandari Athorbo,MZI,Nir Shondhani,Tareque Anu
কথাটা,64,19,5,27,29,6
কথাটি,1,7,4,70,3,7
কন্ঠে,63,56,1,1,19,3
কপিল,231,0,0,0,0,1
কপিলের,66,0,0,0,0,0
কবি,48,17,57,8,9,65
কবিতা,24,32,70,13,26,64
কবির,65,4,15,1,5,23
কবে,17,77,10,9,6,24
কম,54,68,48,139,94,79
কম্পিউটার,2,14,7,81,15,6
কয়েক,0,0,13,10,2,93
কর,65,78,48,11,7,21
করছি,44,66,71,105,49,38
করছিল,65,0,7,14,44,24
করত,128,19,24,30,1,75
করতেন,91,23,23,20,8,47
করবে,60,170,84,161,117,43
করবেন,20,38,69,45,23,23
করবো,0,79,41,3,49,0
করল,126,22,64,85,3,54
করলাম,97,78,46,100,128,68
করলে,38,115,56,62,56,44
করলেন,138,38,53,72,26,41
করলো,0,104,9,3,184,3
করার,141,390,320,731,267,202
করিয়ে,15,15,30,86,23,13
করেই,34,80,88,34,29,48
করেছি,50,74,35,185,47,46
করেছিল,116,4,7,106,39,53
করেছিলাম,17,39,13,72,21,30
করেছিলেন,95,9,27,48,13,91
করেছেন,142,30,147,119,27,123
করেন,252,110,334,139,67,180
করো,9,67,9,24,26,2
কষ্ট,19,53,42,102,44,14
কাউকে,15,71,28,64,59,16
কাগজে,1,21,7,84,7,16
কাছ,32,92,85,44,67,30
কাজে,25,54,53,41,77,63
কাজেই,83,3,7,185,1,51
কাজের,23,36,68,15,30,47
কারন,1,3,49,15,58,3
কারো,0,118,43,31,97,50
কাল,72,27,53,5,23,57
কালো,186,114,47,19,77,90
কিংবা,123,29,177,304,90,34
কিছুই,20,107,131,48,72,57
কিছুক্ষণ,36,76,26,11,38,16
কিছুটা,35,102,72,2,17,91
কিনা,86,5,59,27,98,97
কী,612,1125,41,714,231,366
কীভাবে,38,117,11,112,3,12
কে,436,244,114,111,147,109
কেউ,71,360,180,459,455,131
কেটে,41,111,67,53,52,41
কেননা,72,0,6,0,10,3
কেবল,74,57,37,6,114,155
কোটি,10,15,55,95,59,69
কোথাও,28,77,68,63,136,75
কোথায়,83,131,61,60,113,26
কোন,24,751,917,109,931,745
কোনও,200,0,3,15,0,2
কোনো,3,111,139,882,8,39
ক্লাস,31,6,13,34,74,11
কয়েক,69,15,33,93,110,98
খবর,19,93,20,83,82,42
খবরের,4,27,0,123,11,23
খাওয়া,26,22,34,19,61,21
খাবার,21,56,38,20,80,98
খারাপ,29,115,40,129,104,34
খুঁজে,14,137,99,85,63,61
খুন,10,66,50,24,19,10
খুব,80,537,376,624,247,230
খুবই,5,29,29,148,19,82
খুলে,87,68,66,29,81,31
খেতে,81,58,49,36,65,42
খেয়াল,14,61,18,4,59,10
খেয়ে,59,99,50,30,99,30
গত,40,49,20,75,86,94
গন্ধ,148,46,20,2,26,34
গভীর,134,46,45,67,26,30
গল্প,88,146,68,37,95,117
গাইড,4,1,6,70,3,23
গাছ,84,2,12,16,21,57
গাছের,82,9,24,8,14,74
গান,153,80,131,23,39,61
গাড়ি,44,19,52,80,111,9
গিয়ে,66,377,133,135,333,10
গিয়েছিল,64,1,5,45,67,7
গুরু,65,3,19,0,0,12
গুরুত্বপূর্ণ,10,20,30,155,1,54
গেছি,12,60,26,25,34,23
গেল,324,45,93,177,537,324
গেলাম,53,47,29,48,165,51
গেলে,46,139,69,51,141,91
গেলেন,83,20,35,29,21,23
গেলো,1,208,90,3,18,1
গ্রহন,74,0,28,4,12,0
গ্রামে,63,9,27,7,50,20
গ্রামের,81,8,42,10,56,31
গড়ে,74,27,60,56,17,21
ঘটনা,55,56,67,107,68,66
ঘণ্টা,0,0,11,43,10,64
ঘন,84,3,16,4,15,43
ঘর,68,52,49,18,69,29
ঘরে,192,54,88,41,100,38
ঘরের,55,35,64,29,52,19
ঘুম,48,141,76,19,94,41
ঘুরে,77,35,59,83,93,126
চট্টগ্রাম,7,2,6,3,65,10
চমকে,77,9,16,15,25,11
চমৎকার,36,48,27,58,16,87
চা,110,75,158,10,57,47
চাই,20,86,82,130,64,41
চাকরী,0,2,28,9,59,1
চাচা,53,24,73,1,14,8
চায়,37,98,36,79,57,13
চিন্তা,11,65,29,92,27,58
চিৎকার,52,67,23,31,43,23
চুপ,79,28,13,2,51,0
চুল,70,50,12,5,10,12
চেয়ে,0,0,8,2,2,78
চেষ্টা,26,130,82,273,98,159
চেয়ে,64,133,103,35,147,85
চোখ,141,141,105,54,156,117
চোখের,55,77,89,58,32,54
ছাত্র,10,8,10,136,18,15
ছাত্রছাত্রীদের,2,0,0,101,1,1
ছাত্রছাত্রীরা,1,1,0,77,0,0
ছাড়া,71,85,79,65,84,41
ছিল,893,38,201,482,546,862
ছিলাম,34,69,17,63,49,28
ছিলেন,267,28,117,52,30,137
ছিলো,0,533,231,14,2,4
ছেলে,67,53,53,130,34,48
ছেলেমেয়েদের,1,2,2,144,2,1
ছেলেমেয়েরা,2,4,0,89,4,0
ছেড়ে,52,73,62,57,98,26
ছোট,145,30,139,248,52,153
ছড়িয়ে,63,30,34,20,25,20
জন্ম,70,13,95,82,24,62
জন্য,310,21,867,907,555,812
জন্যে,8,690,16,489,1,4
জল,31,23,36,1,29,82
জলের,29,16,12,0,25,62
জাতীয়,24,21,43,136,25,23
জাতের,3,0,7,0,16,62
জানতে,45,63,80,102,52,74
জানা,40,29,88,73,68,149
জানি,76,154,85,387,137,61
জানে,90,115,21,126,106,39
জায়গা,18,43,17,49,96,32
জায়গায়,24,31,24,83,113,58
জিজ্ঞেস,160,46,5,81,69,7
জীবনে,51,73,64,84,80,102
জীবনের,45,122,132,95,64,182
জেনি,0,114,0,0,0,0
জেনির,0,70,0,0,0,0
জ্ঞান,32,8,73,49,33,29
টাকা,93,144,140,185,274,54
টাকার,13,21,30,31,96,18
টিকে,20,10,11,34,13,92
টের,89,16,28,33,32,11
ঢাকা,112,17,81,141,61,66
ঢাকার,37,7,38,14,14,95
ঢুকে,43,37,10,29,81,14
তখনো,0,0,1,9,58,16
তথ্য,24,6,35,59,76,71
তবু,18,9,93,15,241,21
তবে,501,491,357,119,183,186
তরুণ,44,13,6,172,20,50
তাঁদের,1,0,28,112,9,4
তাঁর,279,4,174,183,66,265
তাঁরা,5,0,14,105,6,10
তাই,113,358,283,471,254,249
তাকিয়ে,92,109,91,83,124,18
তাকে,82,465,235,293,242,145
তাতে,51,70,53,42,61,74
তাদের,127,500,404,1382,215,555
তাদেরকে,0,65,34,148,12,2
তানিয়া,138,0,1,0,0,0
তারপর,370,136,164,86,175,89
তারপরেও,0,82,12,14,0,1
তারা,186,545,260,1006,102,297
তাহলে,107,148,189,436,85,87
তিন,39,47,64,58,138,84
তুই,49,115,52,30,67,9
তুমি,197,463,387,70,191,87
তেমন,73,120,71,4,82,53
তৈরি,125,112,117,249,3,145
তৈরী,0,3,19,22,109,3
তো,457,856,42,158,427,280
তোমরা,27,83,30,59,6,19
তোমাকে,24,172,138,5,76,18
তোমাদের,22,83,29,71,22,26
তোমার,123,440,404,52,142,74
তোর,46,132,66,18,91,13
তোলা,12,16,27,36,13,87
থাকতে,53,123,90,90,62,71
থাকবে,16,104,106,74,72,50
থাকলে,27,65,42,31,71,59
থাকা,40,141,107,85,83,133
থাকার,29,89,77,80,55,82
থাকি,48,149,63,62,60,22
থাকেন,64,37,67,33,16,34
থেকেই,69,49,116,21,46,142
দরকার,56,132,45,93,74,50
দরজা,62,17,31,10,15,13
দল,20,49,17,92,50,68
দশ,42,48,31,46,78,20
দাঁড়িয়ে,138,56,56,59,69,19
দাও,22,83,63,12,19,10
দায়িত্ব,6,20,30,88,30,14
দিই,8,62,2,55,0,24
দিতে,65,233,162,339,239,124
দিনের,35,48,56,32,63,47
দিয়ে,0,10,59,53,12,286
দিল,125,11,25,57,201,73
দিলাম,46,42,44,32,106,49
দিলেন,83,20,51,46,26,36
দিয়েছে,48,57,44,144,82,21
দু,154,48,40,58,25,32
দুঃখ,66,23,28,68,5,15
দুই,45,110,139,177,182,228
দুজন,3,26,9,24,64,6
দুটি,102,26,96,90,21,32
দুটো,19,53,4,15,158,31
দূরে,53,33,40,43,42,63
দেই,3,64,25,19,35,1
দেওয়া,0,0,11,18,0,65
দেওয়া,42,1,24,297,3,79
দেওয়ার,15,2,7,141,1,4
দেখল,65,3,5,1,0,2
দেখলাম,109,31,30,31,79,54
দেখার,25,66,52,102,58,106
দেখেছি,33,35,21,130,21,39
দেবার,10,66,13,24,102,81
দেবে,36,80,28,68,71,19
দেবো,0,70,12,4,42,4
দেশ,15,16,63,267,63,118
দেশে,19,25,78,555,94,112
দেশের,29,48,119,1223,81,152
দেয়,103,228,101,95,133,56
দেয়া,0,192,189,129,178,14
দেয়ার,2,76,76,38,17,1
দ্বিতীয়,70,13,19,26,34,5
দ্য,66,1,4,1,6,71
ধরনের,29,6,67,279,18,218
ধরা,24,44,38,49,64,67
ধর্ম,39,2,84,44,12,17
ধর্মীয়,73,10,46,6,2,5
ধারণা,40,28,32,133,17,57
ধীরে,73,125,95,80,24,22
নদী,50,5,31,2,42,111
নদীর,116,1,41,10,22,77
নবাব,0,0,75,0,0,0
নয়,0,1,18,63,3,148
নাই,80,121,99,35,287,80
নাকি,184,246,94,58,158,127
নানা,48,23,83,118,26,356
নামে,161,22,88,87,72,96
নামের,5,13,55,43,37,143
নারী,65,34,98,9,33,39
নারীর,11,10,66,0,2,13
নাহ,1,62,12,0,20,9
নি,45,354,18,12,24,263
নিচে,6,17,20,35,0,61
নিজ,2,13,65,16,22,28
নিজেকে,12,141,78,43,38,48
নিজেদের,12,59,51,110,30,33
নিজের,31,172,180,314,130,194
নিয়ে,0,4,78,102,9,489
নির্জন,73,16,2,1,19,18
নিশ্চয়ই,18,69,6,143,63,12
নীচে,121,14,22,1,79,1
নীল,100,33,57,2,28,77
নূতন,2,0,2,79,0,2
নেওয়া,8,0,6,122,1,38
নেমে,80,70,65,42,110,39
নেয়,36,69,29,39,33,9
নেয়া,0,61,88,34,57,3
নো,68,15,2,0,7,10
নয়,173,95,289,552,179,140
পক্ষে,8,22,69,48,16,19
পড়ে,0,2,22,26,4,114
পত্রিকা,7,4,6,31,69,15
পথ,49,61,98,23,54,88
পথে,50,42,95,52,93,170
পরও,10,0,6,75,13,22
পরনে,88,10,7,1,1,1
পরপরই,4,1,0,5,5,70
পরা,73,7,12,7,17,13
পরিচিত,86,35,61,54,43,72
পরিণত,2,29,26,10,20,74
পরীক্ষা,13,39,21,393,24,8
পরীক্ষার,2,19,29,277,20,3
পরীক্ষায়,4,7,16,87,7,0
পরের,19,26,11,45,24,62
পর্যন্ত,40,70,151,168,114,219
পা,48,48,38,37,75,74
পাঁচ,23,21,32,37,62,20
পাই,26,83,32,73,28,22
পাওয়া,0,0,25,8,3,65
পাকিস্তান,16,0,1,76,13,7
পাখি,48,14,29,1,28,261
পাখির,26,9,11,5,15,174
পানি,91,39,114,34,64,24
পাবলিক,0,6,7,88,9,2
পার,15,26,27,35,68,22
পারব,20,0,10,94,0,24
পারবে,15,81,18,208,67,23
পারি,19,190,58,238,72,76
পারেন,29,55,82,63,30,56
পাশে,208,60,80,84,93,52
পাশের,48,73,28,19,65,28
পায়,72,128,48,52,55,16
পিছনে,97,0,3,31,2,33
পুরনো,88,1,18,6,3,67
পুরো,9,36,143,181,69,40
পুরোনো,0,64,2,7,80,5
পুরোপুরি,1,21,21,70,9,11
পুলিশ,10,2,32,49,71,12
পূর্ব,45,2,31,6,11,69
পৃথিবীতে,24,29,73,89,11,26
পৃথিবীর,16,50,116,277,27,79
পৃষ্ঠা,69,5,1,33,2,1
পেছনে,0,33,59,29,76,7
পেতে,8,57,76,70,39,51
পেরিয়ে,37,18,9,2,97,18
পেল,72,2,9,7,32,8
পেলাম,93,18,44,45,61,32
পেয়ে,33,149,72,78,106,25
পোস্ট,10,89,131,1,0,33
প্রকাশ,34,77,77,79,33,44
প্রজন্ম,1,0,5,87,1,14
প্রতি,42,110,183,88,90,161
প্রতিদিন,7,15,25,21,81,20
প্রতীক,37,2,72,3,3,31
প্রধান,33,14,65,35,37,27
প্রফেসর,155,2,9,39,2,10
প্রশ্ন,43,45,33,268,30,56
প্রাচীন,164,19,90,2,16,118
প্রাণী,0,9,10,2,22,88
প্রায়,0,0,23,22,2,93
প্রিয়,0,0,7,5,0,101
প্রিয়,23,47,95,47,56,40
প্রেম,19,24,68,6,44,18
প্রেমের,11,13,64,0,19,9
প্রোফেসর,67,2,4,0,0,0
পড়তে,44,42,34,94,53,14
পড়ল,98,12,6,20,0,23
পড়লো,0,28,6,2,94,0
পড়েছে,72,39,7,39,44,17
ফরসা,65,0,0,0,0,1
ফলে,46,73,54,14,60,109
ফাঁকে,24,9,15,12,27,75
ফাঁস,3,2,12,162,5,5
ফারহান,120,0,0,0,0,0
ফোন,114,102,52,67,76,20
বই,56,40,39,387,134,229
বইটি,28,3,1,62,4,68
বইয়ের,0,0,0,3,0,63
বইয়ের,27,16,16,84,47,44
বছরের,60,36,74,82,92,109
বড়,0,2,19,76,4,131
বদলে,78,46,30,5,63,28
বন,27,3,8,2,9,77
বনের,12,0,11,2,12,74
বন্ধ,60,127,65,99,123,43
বন্ধু,49,68,61,31,63,137
ববি,0,108,0,0,0,0
ববির,0,64,0,0,0,0
বরং,41,33,68,25,34,90
বর্ণনা,21,17,22,17,5,74
বল,89,74,21,6,12,12
বলল,711,12,67,122,4,75
বললাম,165,26,21,66,106,42
বললেন,496,15,49,98,59,99
বললো,0,27,1,2,204,0
বলার,21,82,34,74,35,26
বলি,30,57,23,78,45,33
বলেই,111,44,82,12,32,45
বলেছিলেন,29,4,10,26,5,73
বলেন,64,45,59,24,34,56
বাংলা,85,25,121,98,41,103
বাংলাদেশ,53,11,45,118,74,96
বাংলাদেশে,34,0,15,50,51,89
বাংলাদেশের,62,6,76,232,76,122
বাংলার,229,1,36,5,10,83
বাংলায়,111,5,6,14,9,19
বাইরে,81,52,73,72,124,8
বাকি,4,81,27,26,0,20
বাকী,0,2,8,6,87,55
বাঘ,1,1,1,0,7,102
বাঘের,5,2,3,2,8,77
বাঙালি,86,5,10,14,0,10
বাতাসে,64,5,20,7,12,32
বাদে,5,4,1,2,59,24
বাবার,72,50,35,26,67,28
বার,45,21,67,28,15,74
বারবার,82,47,20,10,27,23
বাস,58,39,29,38,83,41
বাসায়,17,118,57,68,122,22
বাহির,7,5,4,0,3,83
বাড়ি,185,51,71,38,84,11
বাড়িতে,92,16,64,5,41,7
বাড়ির,107,16,36,6,62,6
বিখ্যাত,32,3,25,28,8,112
বিচার,5,10,15,117,18,12
বিচিত্র,13,6,11,77,12,26
বিভিন্ন,16,30,131,22,13,22
বিরুদ্ধে,48,15,47,81,33,22
বিশাল,70,80,31,119,70,231
বিশেষ,62,87,116,42,58,357
বিশ্ব,6,0,17,7,4,78
বিশ্ববিদ্যালয়,10,6,6,145,13,0
বিশ্ববিদ্যালয়ে,10,3,5,141,9,0
বিশ্ববিদ্যালয়ের,9,3,9,285,10,0
বিশ্বাস,87,58,122,147,55,33
বিশ্বের,27,2,26,2,14,159
বিষয়,34,31,86,180,25,12
বিষয়টা,0,4,13,93,4,0
বিষয়টি,22,4,25,118,2,4
বিয়ে,67,36,62,21,50,15
বুঝতে,64,145,61,154,88,38
বুনো,45,8,9,0,3,106
বৃদ্ধ,169,20,4,3,4,6
বেঁচে,49,93,106,87,51,37
বের,64,176,132,284,113,17
বেরিয়ে,45,26,11,2,96,21
বেশ,253,436,161,79,76,330
বেশি,87,260,184,284,0,121
বেশী,0,1,46,57,214,192
বোঝা,62,27,23,31,40,56
বোধ,65,67,37,22,18,23
ব্যবস্থা,23,33,79,58,66,37
ব্যবহার,20,36,93,164,40,95
ব্যাপার,43,139,36,169,63,49
ব্যাপারটা,36,123,22,61,42,18
ব্যাপারে,18,77,23,65,36,46
ব্লগ,2,60,248,11,22,18
ব্লগার,6,59,606,27,2,2
ব্লগারদের,1,32,94,7,2,0
ব্লগিং,0,11,80,0,9,1
ব্লগে,3,71,67,6,6,7
ব্লগের,4,31,69,3,6,1
বড়,302,224,190,672,242,134
বয়স,64,54,39,41,56,6
ভর্তি,25,13,44,240,45,31
ভাই,113,145,122,53,77,143
ভাবতে,39,83,31,2,67,11
ভাবে,90,63,177,37,29,247
ভাল,1,10,171,11,7,131
ভালো,189,449,88,330,201,49
ভালোই,26,67,9,6,16,1
ভালোবাসা,2,57,101,63,11,5
ভালোবাসার,1,60,33,20,15,5
ভিতরে,141,2,13,4,3,66
ভিন্ন,10,7,43,114,31,31
ভীষণ,102,83,122,1,20,23
ভুল,23,102,59,63,71,39
ভুলে,16,86,48,26,51,25
ভেঙে,43,60,52,43,5,3
ভেতর,0,164,158,182,82,10
ভেতরে,0,58,28,112,88,14
ভেবে,50,118,71,18,45,38
ভেসে,68,32,34,15,38,51
ভয়,44,157,36,50,70,12
মত,49,394,190,68,5,526
মতই,3,21,29,2,0,85
মতন,181,5,29,3,0,16
মতো,62,202,288,374,368,60
মনের,50,88,114,40,11,91
মরমি,75,0,0,0,0,0
মাংস,24,69,29,1,17,50
মাছ,51,12,16,2,28,144
মাঝে,62,95,310,354,141,526
মাঝেই,0,3,27,36,7,93
মাত্র,30,51,78,127,120,127
মাথা,104,75,84,135,104,50
মাথায়,103,59,83,63,91,19
মাধ্যমে,29,53,130,19,12,44
মানুষকে,10,25,47,125,37,31
মানুষের,94,129,284,385,152,288
মানে,249,98,54,28,106,128
মামা,35,4,72,0,7,8
মারা,83,90,78,130,49,53
মাস,32,27,111,54,48,31
মাহমুদ,62,7,2,2,8,2
মায়ের,61,51,69,74,43,7
মিঞা,75,0,0,0,0,0
মিলল,2,0,0,0,0,76
মিলে,7,51,52,115,17,46
মুক্তিযুদ্ধের,8,1,11,103,22,1
মুসলিম,79,3,18,13,3,6
মূল,36,40,63,44,21,116
মূলত,25,17,84,1,2,60
মৃত্যু,45,73,74,19,26,33
মৃত্যুর,61,69,79,37,20,40
মেনে,20,53,51,73,28,14
মেরে,19,65,19,30,56,28
মেলে,9,9,13,2,18,84
মেহজাবীন,72,0,0,0,0,0
মেয়ে,103,56,119,107,37,24
মেয়েদের,19,20,16,75,8,7
মোটেও,8,49,25,71,19,27
মোশতাক,74,0,0,1,1,0
মোশাররফ,79,0,0,1,8,0
যখন,118,183,220,669,200,172
যত,11,33,48,99,36,28
যদি,37,252,272,539,154,160
যদিও,41,59,69,24,51,225
যা,185,231,261,55,162,234
যাই,125,160,122,94,117,50
যাও,29,68,27,2,23,15
যাওয়া,0,1,7,3,0,87
যাওয়া,38,142,92,70,106,102
যাওয়ার,54,34,77,88,10,4
যাত্রা,6,11,23,11,35,96
যাদের,17,19,47,57,25,65
যান,61,38,59,30,22,62
যাবার,10,129,29,51,195,112
যাবো,1,88,26,1,74,4
যায়,0,10,77,50,6,267
যার,41,95,180,74,79,222
যারা,32,59,115,372,98,111
যিনি,40,7,64,28,20,29
যেখানে,26,50,121,36,94,179
যেমন,77,85,92,23,29,150
যেয়ে,0,0,0,0,0,71
যেহেতু,7,18,41,88,11,43
যেয়ে,1,5,28,2,0,63
যৌন,8,13,105,0,0,6
রং,93,6,42,9,22,6
রকম,59,31,80,357,25,33
রক্ত,25,95,62,38,24,31
রঙ,5,61,19,2,10,43
রঙের,287,32,74,5,27,38
রবি,0,2,1,0,8,98
রাখতে,24,45,71,57,44,26
রাখা,17,44,129,62,72,82
রাজনৈতিক,25,6,33,103,24,19
রাজি,21,3,7,79,4,5
রাত,61,104,94,46,107,67
রাতে,99,91,95,42,88,50
রাতের,13,68,88,14,46,48
রাস্তা,30,11,17,24,53,79
রাস্তায়,55,25,30,33,85,27
রাহাত,69,0,0,0,0,4
রে,101,47,16,5,24,34
রেখে,67,109,103,60,102,53
রোদ,72,15,18,0,9,25
রোমান,77,0,10,1,0,11
রয়েছে,208,60,222,77,11,13
লক্ষ,32,8,15,82,33,42
লম্বা,44,18,23,27,10,64
লাখ,11,24,24,61,78,9
লাগছে,12,67,30,11,57,5
লাগল,76,0,16,21,2,35
লাগলো,0,72,8,2,85,5
লাগে,44,134,69,60,81,63
লাভ,89,31,62,45,27,35
লাল,103,41,66,20,38,98
লিখতে,19,62,26,98,35,26
লিখে,31,51,43,99,35,41
লিখেছেন,128,8,29,19,7,22
লিখেছেনঃ,0,0,72,0,0,0
লেখক,25,43,22,60,22,92
লেখাপড়া,4,0,0,159,1,5
লেখার,29,56,30,58,26,62
লোক,75,31,25,5,103,31
লোকটা,55,41,8,0,83,2
শক্তি,38,37,46,119,32,14
শত,9,3,19,34,27,66
শব্দ,137,110,79,47,86,55
শরীর,96,106,45,17,35,34
শরীরে,39,70,28,16,15,19
শরীরের,34,72,60,10,24,17
শহর,27,30,32,33,37,111
শহরে,71,50,43,57,77,60
শহরের,77,65,33,46,46,119
শান্ত,110,16,13,14,10,12
শাহ,111,2,13,1,1,1
শিকার,23,18,44,7,5,105
শিক্ষক,10,7,4,123,9,16
শিক্ষকদের,1,2,3,96,1,1
শিক্ষা,15,8,38,132,18,26
শিব,114,0,5,0,0,8
শিশু,21,8,65,83,21,17
শুধু,18,150,233,481,106,117
শুনতে,48,90,24,74,50,20
শুনে,83,70,39,86,105,57
শুরু,85,283,279,454,319,290
শুয়ে,54,61,51,12,40,10
শেষে,19,44,70,52,44,69
শ্যামল,93,0,2,0,1,4
সংখ্যা,27,18,37,83,16,54
সকল,11,29,110,48,67,86
সঙ্গে,493,11,126,416,28,36
সত্যি,34,52,32,193,59,21
সবকিছু,0,82,28,93,54,10
সবচেয়ে,0,0,19,24,2,135
সবচেয়ে,0,62,61,261,121,141
সবাই,56,212,104,450,130,100
সবাইকে,13,58,54,130,13,28
সবার,8,109,81,177,40,80
সবুজ,66,40,15,31,53,128
সময়,0,5,50,33,5,201
সমস্ত,39,56,25,12,59,126
সমস্যা,37,76,71,91,59,42
সম্পর্কে,8,76,113,54,39,80
সম্বন্ধে,89,6,2,0,1,2
সম্ভব,48,53,137,169,29,105
সম্ভবত,49,29,29,71,6,35
সম্রাট,82,0,10,0,2,22
সময়ে,68,45,41,43,56,39
সরকার,18,8,29,189,49,9
সরকারের,10,8,22,156,49,7
সহজ,21,15,36,105,31,23
সাংবাদিক,78,5,6,19,6,7
সাথে,7,810,724,326,660,1083
সাদা,115,85,60,18,43,60
সাধারণ,22,21,40,109,33,43
সাধারণত,10,17,20,10,0,71
সারা,30,21,34,194,37,184
সালমা,108,0,5,4,2,1
সালে,113,2,114,74,40,155
সাহেব,33,30,70,19,81,25
সিগারেট,48,33,160,0,47,2
সুন্দর,55,137,86,96,52,69
সুফি,67,0,0,0,1,0
সুযোগ,5,73,68,188,65,71
সুলতান,77,0,1,0,0,3
সৃষ্টি,31,57,80,11,21,48
সেখান,7,19,40,29,11,62
সেখানে,27,90,111,202,79,271
সেগুলো,0,13,32,116,4,38
সেটা,20,132,140,761,166,117
সেটাকে,0,9,5,72,5,18
সেটি,54,6,14,481,10,52
সেদিন,14,69,27,35,100,42
