Emon Jubayer,value,Hasan Mahbub,value,Kandari Athorbo,value,MZI,value,Nir Shondhani,value,Tareque Anu,value
চিৎকার করে,33,খুব বেশি,42,দেয়ার জন্য,29,করতে পারবে,59,করা হয়েছে,29,সবচেয়ে বেশী,29
মনে করেন,33,শুরু করে,42,না করে,29,করার চেষ্টা,59,এত বড়,29,জানা গেল,28
বলা হয়,33,না কিন্তু,42,করা সম্ভব,28,আমার খুব,58,দেয়া হলো,29,যায় না,28
না কেন,33,বেশ ভালো,41,খুব ভাল,28,দিতে হবে,58,মনে হচ্ছে,29,দেখা হবে,28
মঙ্গল ভট্টারক,32,আমার দিকে,40,হবে না,28,যাবে না,58,করা হলো,29,হয়ে গেল,28
দু পাশে,32,না করে,39,আমি তোমার,28,বের হয়ে,58,দেখা যায়,29,পাওয়া যায়,28
সাদা রঙের,32,মনে হচ্ছে,39,অন্য কোন,27,নিজের চোখে,58,বছর আগে,28,হাজার বছর,28
ঠিক তখনই,31,আর কোন,38,ঈসা আঃ,27,করে না,57,করতে হয়,28,না আর,28
হবে না,31,খুব একটু,37,এক কাপ,27,হয়ে গেল,57,আমার দিকে,28,বটে কিন্তু,27
না না,31,না হয়,37,একটা সময়,27,আমি আমার,57,গেল না,28,করা হয়েছে,27
মেঝের ওপর,31,পারবে না,37,হতে হবে,27,অনেক বড়,57,আরো অনেক,27,কাছ থেকে,27
ফাইইম ফাইয়াজি,30,কেমন যেন,36,তৈরি করা,27,আমি তখন,56,বছর ধরে,27,দেখা মেলে,26
বেশ বড়,30,কী করে,36,আমার এই,27,যেতে পারে,56,না তবে,27,রবি ঠাকুরের,26
আমি আর,29,না কী,36,এমন একটি,27,একজন মানুষ,55,উপায় নেই,27,আর কী,26
বছর পর,29,এবং তার,36,হয় যে,26,ভর্তি পরীক্ষার,55,পারলো না,27,অনেক বছর,26
মুখ তুলে,29,খুব ভালো,36,ছিল না,26,শুরু করেছে,55,আস্তে আস্তে,26,করে তার,26
হাজার বছর,28,করে তার,35,আর কিছুই,26,হয়ে যাবে,55,লাখ টাকা,26,আমার কাছে,26
ভালো করে,28,ইচ্ছে করে,34,করে থাকে,26,ব্যবহার করে,55,কোন কোন,26,কাজ করে,26
করে উঠল,28,একে অপরের,34,ব্লগ দিবস,26,কিন্তু আমি,54,শুরু হলো,26,চুলু ওয়েস্ট,26
প্রফেসর আশরাফির,28,হঠাৎ করে,33,ঈদের দিন,26,করা হবে,54,কেন যেন,26,দেখা যায়,25
না তবে,28,বাবা মা,33,আমার জন্য,26,গাইড বই,54,করা হয়,26,এখন পর্যন্ত,25
পারছি না,28,করতে করতে,33,কথা না,26,সেটি হচ্ছে,54,আছে কিনা,26,পাওয়া যায়,25
বসে আছে,28,করে আমি,32,কিন্তু এই,25,কথা বলে,54,কাজ করে,26,মনে মনে,25
চোখে পড়ল,27,ঠিক আছে,32,স্বস্তিকা প্রতীক,25,জানে না,53,মনে পড়লো,25,তার জন্য,25
আশরাফি বললেন,27,সাথে আমার,32,তুমি কি,25,কথা বলা,53,বলা যায়,25,কোন এক,25
বড় বড়,27,আমি আমার,32,থেকে বের,25,হয় তাহলে,53,পারছে না,25,সবচেয়ে বড়,25
করতে হবে,27,করতে পারি,31,ইন ব্লগের,25,কি না,53,করতে করতে,25,করা হত,25
হয়ে উঠেছে,27,আমার জন্যে,31,করা যায়,25,অনেক বেশি,52,না আমরা,25,বছর আগের,25
জিজ্ঞেস করলাম,27,বের হয়ে,31,না আমি,25,তৈরি করে,52,চলে গেল,24,করা হয়েছিল,24
ফিসফিস করে,27,থাকে সে,30,করে তার,25,না আমরা,52,শেষ করে,24,কিন্তু সেই,24
তার ওপর,27,পারি নি,30,থেকে শুরু,25,না আমাদের,52,না হলেও,24,হয়ে গেছে,24
কে যেন,27,সে আমাকে,30,না কিন্তু,25,না তারা,51,করে দিল,24,ফাঁকে ফাঁকে,24
মাঝে মাঝে,27,হচ্ছে না,30,তুমি আমার,24,সবাই মিলে,50,যাবার সময়,24,বার্ড ক্লাবের,24
হয়ে উঠল,27,চেষ্টা করে,30,করতে পারেন,24,করে তাদের,49,কিছুদিন পর,24,চেষ্টা করে,24
ঠিক আছে,27,বুঝতে পারে,30,হয় তাহলে,24,আমার মা,48,পাওয়া যায়,24,যেতে পারে,24
কাল্ট অভ,27,চিৎকার করে,30,বিশেষ করে,24,জানা নেই,48,না তার,24,না এবং,24
না বলে,27,সাথে কথা,29,ব্লগার আরজুপনি,24,করা সম্ভব,47,টাকা দিয়ে,23,হল না,23
কথা বলে,27,বেঁচে থাকার,29,বন্ধ করে,24,হওয়ার পর,47,বছর পর,23,সারা বিশ্বে,23
রাণী রাসমণি,27,হলো না,29,সেই সাথে,24,কোনো একটা,47,যেতে পারে,23,মনে পড়ে,23
কী বলব,26,থেকে বের,29,হয়ে গেল,24,পারব না,47,অনেক বছর,23,দেখা যেত,23
হাঁটতে হাঁটতে,26,মনে পড়ে,29,রাখতে হবে,24,সারা পৃথিবীর,47,কিন্তু আমার,23,আলাদা আলাদা,23
এই যে,26,আর কিছু,29,আমি তোমাকে,23,তৈরি করা,46,করতে না,23,ইত্যাদি ইত্যাদি,23
আমি বললাম,26,আরো কিছু,29,একজন মানুষ,23,দেওয়া হয়,46,চুপ করে,23,কথা বলতে,23
অফ করে,26,কিছু নেই,29,তার স্ত্রী,23,আমি তাদের,45,না কেউ,23,সবচেয়ে বেশি,23
মনে মনে,26,তার ওপর,29,বছর মাস,23,না হয়,45,করতে পারে,23,বিশেষ ধরনের,23
ইন্সপেক্টর সোহরাব,26,আমি তাকে,29,ছাড়া আর,23,কী না,45,বসে আছে,23,যে কারণে,23
আর কী,26,দেখা যায়,29,মনে করেন,23,কিন্তু এই,44,করতে থাকে,23,যায় না,23
বলল স্যার,26,থাকবে না,28,কথা বলে,23,সঙ্গে সঙ্গে,44,কথা মনে,22,পূর্ব ইউরোপ,23
বোঝা যায়,26,চলে যায়,28,নিতে হবে,22,দেশের সব,44,কথা বলতে,22,ইনাম ভাই,23
আমার কাছে,26,দিতে হবে,28,আঃ এর,22,নিয়ে আমার,44,পার হয়ে,22,না কোন,22
ইলিয়াস শাহ,26,দরকার নেই,28,দেয়া হয়েছে,22,চেষ্টা করে,44,জানালা দিয়ে,22,সাথে তার,22
পকেট থেকে,25,পারে নি,28,সিগারেট ধরিয়ে,22,থেকে বের,44,কিছু নেই,22,যা কিনা,22
হাঁটতে থাকে,25,ঘুম থেকে,28,সাথে আমার,22,তার থেকে,44,করতে শুরু,22,এই নিয়ে,22
করে না,25,আমার এই,28,সব সময়,22,না শুধু,43,রয়ে গেছে,22,কথা বলে,22
মনে পড়ে,25,নেই আমার,28,অনেক সময়,22,কিছুদিন আগে,43,আমার কাছে,22,হয়ে গেল,22
কাছ থেকে,25,সাথে দেখা,28,বড় বেশি,21,শুরু করল,42,থেকে বেরিয়ে,22,কথা মনে,21
না আমার,25,পারি না,27,এরই মাঝে,21,আবিষ্কার করলাম,41,করার পর,21,শুরু হয়,21
জ্বী স্যার,25,আমি তো,27,মনে মনে,21,বছর আগে,41,আসে না,21,তার পরপরই,21
ওপর একটা,25,তো আর,27,তিনি তার,21,তখন আমার,41,ছাড়া আর,21,ইচ্ছে করে,21
নামে এক,24,মত করে,27,এর মধ্যে,21,কাছ থেকে,41,যায় কিন্তু,21,দেখার জন্য,21
করে বলল,24,না তো,27,বুকের ভেতর,21,খুব ভালো,41,থেকে একটা,21,পর এক,21
জিজ্ঞেস করলেন,24,কথা বলার,27,দেখা যাবে,21,ধীরে ধীরে,40,চলে যায়,21,আল হক,21
নামে একটি,24,না বলে,27,হয় না,21,আমি এই,40,আছে কিন্তু,21,না বরং,21
নলিনীকান্ত ভট্টশালী,24,আমি একটা,27,না হয়,21,হবে আমি,40,কেমন একটা,21,করতে করতে,21
নিয়ে এল,24,থাকে না,27,মনে পড়ে,21,তার মাঝে,40,আমি জানি,21,কুমার শরৎকুমার,21
এনামুল হক,24,কিন্তু আমি,26,ছিলো না,21,আমাদের বিশ্ববিদ্যালয়ের,40,কথা বলে,21,থাকতে পারে,20
ইফতেখার হায়দার,24,করে আমার,26,করে দিতে,21,বন্ধ করে,40,অফিস থেকে,20,দেখা গেছে,20
বড় একটা,24,হয় আমি,26,আমার দিকে,21,সত্যি সত্যি,40,ইচ্ছে করে,20,না সেই,20
অভ আহরিমান,24,না যে,26,খুব সম্ভবত,21,নেই কিন্তু,40,খুব বেশী,20,অফ দ্য,20
আমি আমি,24,লাগে না,26,মনের ভেতর,21,শুধু যে,40,হতে থাকে,20,করা যায়,20
মেজর ইফতেখার,24,বুঝতে পারি,26,আর সেই,21,ভেতর দিয়ে,40,করবে না,20,যাওয়া হল,20
সঙ্গে কথা,24,কাজ করে,26,না বলে,21,বিষয় নিয়ে,40,বন্ধ হয়ে,20,না তাই,20
মিনহাজ ভাই,24,জড়িয়ে ধরে,25,রাতের বেলা,20,আমরা আমাদের,40,কিন্তু সে,20,আর কোন,20
মুহম্মদ এনামুল,23,একে অপরকে,25,পর থেকে,20,করে তারা,39,করে বসে,20,হয়ে যায়,20
পড়ে আছে,23,জন্যে আমি,25,ব্লগার আমিনুর,20,না তার,39,আর আমি,20,বলা হয়,20
in the,23,হয় তার,25,বছর ধরে,20,করে দেওয়া,39,করে দিতে,20,তাদের সাথে,20
কথাটা শুনে,23,সে কী,25,করতে হয়,20,কিন্তু তার,39,করে তার,20,শুরু হল,20
সাধন আচার্য্য,23,কোথা থেকে,25,করে না,20,করে আমি,39,হতো না,20,থাকে না,20
চমকে উঠলাম,23,আসে না,25,কাজ করছে,20,আমি খুব,39,তার সাথে,20,বলা চলে,19
ফিরোজ শাহ,23,করে ওঠে,25,তার উপর,20,নিউক্লিয়ার শক্তি,39,তার কোন,20,ফেরার পথে,19
করে থাকে,23,সাথে সাথে,25,চলে যায়,20,ছোট ছোট,39,না তাই,20,শরৎকুমার রায়,19
চমকে ওঠে,23,পারছি না,25,কথা বলার,20,সেই দেশের,39,হয়ে গেলাম,19,কিন্তু তার,19
ডা স্মরণজিৎ,23,আমার মনে,25,ব্যবহার করা,20,তার একটা,39,আমি আর,19,না এই,19
প্রাচীন বাংলায়,23,কী হয়েছে,24,শুরু করল,20,নতুন করে,38,কথা শুনে,19,না করে,19
অবাক হলাম,23,আমার কথা,24,করা হচ্ছে,20,কিছু নেই,38,হাজার টাকা,19,তো বটেই,19
চোখে পড়ে,23,না তুমি,24,পারলাম না,20,প্রশ্নের উত্তর,38,না এখন,19,অনেক বেশী,19
আমি আমার,23,করতে থাকি,24,দেখা যায়,19,ফাঁস হয়ে,38,দশ বছর,19,দেবার জন্য,19
আমার মনে,23,তাদের মধ্যে,24,দেখা গেছে,19,সত্যি কথা,37,আমার সাথে,19,না কেন,18
দিক থেকে,23,পায় না,24,কিন্তু আমি,19,শুধু তাই,37,জোর করে,19,কেমন যেন,18
পাওয়া যায়,22,থেকে উঠে,24,দেখে মনে,19,তখন আমি,37,হয়ে আছে,19,না তার,18
ডক্টর গোলাম,22,আর তার,24,হাজার বছর,19,আমাদের বিশ্ববিদ্যালয়ে,37,তৈরী করা,19,শেষ পর্যন্ত,18
হাত তুলে,22,কিন্তু আমার,24,যায় না,19,মনে করিয়ে,37,যেতে যেতে,19,না যে,18
সে সময়,22,এর চেয়ে,24,নামে পরিচিত,19,তারা সবাই,37,বুঝতে পারছি,19,একই সাথে,18
বলা হয়েছে,22,কেটে যায়,24,মৃত্যুর পর,19,অবাক হয়ে,37,আমার জন্য,19,চলে যায়,18
কবির এর,22,পাওয়া যায়,24,কিন্তু আমার,19,১৯৭১ সালে,37,চোখ বন্ধ,18,তা হচ্ছে,18
এর মানে,22,এখন আমি,24,এই কথা,19,হত্যা করা,37,আসার পর,18,তো আর,18
আজীজ সিকদার,22,পারবো না,24,আমিনুর রহমান,19,প্রশ্নপত্র ফাঁস,37,হয়ে যেতে,18,বিশাল এক,18
স্মরণজিৎ চক্রবর্তী,22,কোন একটা,24,শুরু করেছে,19,শেষ করে,37,সাথে কথা,18,দেখে মনে,18
দেখতে পেলাম,22,তার জন্যে,23,মেনে নিতে,19,তাই নয়,37,এমন একটা,18,পুরনো বইয়ের,18
বোধ করে,22,নেই আমি,23,তার সাথে,19,এর মাঝে,37,আমি তো,18,মনে করে,18
এর আগে,22,এমন একটা,23,করে কিন্তু,19,হবে এই,36,করতে গিয়ে,18,এমন কোন,18
wikipedia org,22,করবে না,23,তবে এই,19,কথা মনে,36,তৈরী করে,18,মাঝে মাঝেই,18
আমার সঙ্গে,22,কী হবে,23,শেষ পর্যন্ত,19,পরীক্ষা দিতে,36,কিছু একটা,18,ছিল সেই,18
খুরশিদা বেগম,22,কাজ করতে,23,সে তার,19,এত বড়,36,আর কখনো,18,আশা করি,18
en wikipedia,22,এই তো,23,হয় কিন্তু,19,জোর করে,36,দেয়া হয়েছে,18,একজন মানুষ,17
http en,22,না কখনও,23,নানা রকম,19,দেওয়া হয়েছে,36,আর কিছু,18,করেন নি,17
org wiki,22,আর আমার,23,ব্লগার আরজুপনির,18,নেই আমি,35,কিন্তু সেই,18,আর তার,17
না করে,22,কী যেন,23,দখল করে,18,আমার জানা,35,তিন বছর,18,না আমি,17
আমার নাম,21,তা না,23,কাজের মেয়ে,18,না সেটা,35,শুরু করলাম,18,আলী সাহেব,17
সেই সঙ্গে,21,থেকে একটা,23,কিন্তু তার,18,করে দিতে,35,চাই না,18,নানা জাতের,17
যা হোক,21,মনে মনে,23,কিছু নেই,18,না কাজেই,35,পারলাম না,18,ভাল লাগে,17
হ্যাঁ হ্যাঁ,21,ছাড়া আর,23,আর আমি,18,আর কিছু,35,দিতে পারে,18,সারি সারি,17
অগাস্টাস সিজার,21,হয়ে আসছে,23,কোন এক,18,বড় একটা,35,অনেক বেশী,18,মেলে না,17
সম্রাট টাইবেরিয়াস,21,মন খারাপ,23,ঈদ মোবারক,18,করি না,35,কোন একটা,18,করে সেই,17
আমার দিকে,21,চেষ্টা করি,23,চিরদিনের জন্য,18,এই দেশ,35,কয়েক বছর,18,এবং তাদের,17
অ্যাঙ্গলো স্যাক্সোন,21,করে দিয়ে,22,আর কিছু,18,কেউ যদি,35,তার চেয়ে,18,কিন্তু এই,16
সাদেক মিঞা,21,ভালো লাগে,22,বের করে,18,পারছি না,35,করে সে,17,কোন না,16
ভিতর দিয়ে,21,হাত দিয়ে,22,করে নিতে,18,মনে হলো,35,শুরু করি,17,সুযোগ পেলেই,16
ফরিদা ভাবি,21,হাত ধরে,22,একটি সিগারেট,18,সারা পৃথিবীতে,34,হাত দিয়ে,17,করা সম্ভব,16
ছোট ছোট,21,সে কি,22,বলা যেতে,18,হয় তখন,34,নিয়ে একটা,17,শুভ জন্মদিন,16
সঙ্গে দেখা,21,চেপে ধরে,22,বসে আছে,18,লেখাপড়া করে,34,ঠিক আছে,17,করে তাদের,16
ইবনে ইয়াসিন,21,করে দেয়,22,কি আর,18,কাজ করতে,34,না থাকলে,17,না কারণ,16
সোহরাব আলী,21,না পেয়ে,22,on the,18,আমরা জানি,34,না হলে,17,জীবন কাটিয়ে,16
বলল আমার,21,আমি তোমার,22,পেছন থেকে,18,ভালো করে,34,না কারন,17,যার নাম,16
উবাইদ মালিক,21,করার পর,22,নবাব সাহেব,17,নিয়ে কথা,34,বুকের ভেতর,17,ছিল কিন্তু,16
সঙ্গে আমার,21,করে দিতে,22,হয় এই,17,আমার এই,34,কিন্তু তার,17,বিশাল সব,16
ফোন অফ,21,ইচ্ছে করছে,22,শুরু হয়ে,17,না তাদের,34,না হয়,17,এর মাঝেই,16
আমি অবাক,21,তোমার কাছে,22,করে আমার,17,নিতে হবে,34,ফিসফিস করে,17,না থাকলে,16
পাওয়া গেছে,21,না তা,22,তৈরি করে,17,একটা বিষয়,33,যাবার জন্য,17,আবার দেখা,16
বোঝা গেল,20,দেখা হয়ে,22,শেষ হয়ে,17,ব্যবহার করতে,33,এখান থেকে,17,এম মুহিত,16
বলতে বলতে,20,এখান থেকে,22,আমার খুব,17,হয় আমি,33,বাদ দিয়ে,17,সবচেয়ে বড়,16
হলায়ুধ মিশ্র,20,উপায় নেই,22,খুব বেশি,17,না যে,33,পারবো না,17,আছে এই,16
গোলাম মোর্তোজা,20,কেউ কেউ,22,কোন কিছুই,17,বলা হয়েছে,33,ইচ্ছে হলো,17,যাওয়া হল,16
ভালো লাগে,20,করার চেষ্টা,22,কাজ করতে,17,করে এই,33,বাদে আর,16,এই যে,16
চলে গেল,20,হয়ে আসে,21,অনেক রাত,17,নিয়ে আমাদের,33,না কোন,16,জন্য এই,16
আর ফারহান,20,করে নি,21,তার জন্য,17,খবরের কাগজ,33,কোন সমস্যা,16,বলে মনে,16
বাঁ পাশে,20,যায় আমার,21,যেন আমার,17,করতে শুরু,33,ফেরার পথে,16,না হয়,16
স্বাগতালক্ষ্মী বললেন,20,তো আমি,21,আমি খুব,17,আমার স্ত্রী,33,খারাপ হয়ে,16,ছোট ছোট,16
ওই যে,20,আছে আমার,21,না এই,17,করে তার,33,কে জানে,16,জানি না,16
চোখ দুটি,20,বিশেষ করে,21,যেতে হবে,17,শুরু হয়েছে,33,না আমাদের,16,দেখা যাচ্ছে,16
কে জানে,20,তেমন কিছু,21,পারে কিন্তু,17,এক ধরণের,33,করা যাবে,16,চেষ্টা করি,16
দাঁড়িয়ে আছে,20,করা হয়,21,জীবন যাপন,17,করে সেই,33,করে বললো,16,বাংলার পথে,15
মনে করে,20,মনে হচ্ছিলো,21,কিন্তু সেই,17,তৈরি করতে,33,হঠাৎ করে,16,কোটি বছর,15
গফুর আসকারী,20,করে নিয়ে,21,হচ্ছে যেন,17,ঠিক করে,33,হয়ে গিয়েছিল,16,মুজতবা আলী,15
করে রইলেন,20,শুরু করলো,21,বার বার,17,থাকে না,33,আর কি,16,সারা বিশ্ব,15
কী ভাবে,20,কী সব,21,তাহলে কি,16,বলতে পারি,32,যাই হোক,16,বোঝা গেল,15
আরকুম শাহ,20,যে সে,21,করে দিয়ে,16,যাই হোক,32,কোন সময়,16,শত শত,15
দরজার কাছে,20,ছিলো তার,21,মনে করে,16,করা হচ্ছে,32,কথা না,16,কোন কোন,15
গেল না,20,শেষ করে,21,কেমন যেন,16,পারে আমি,32,এই প্রথম,15,আর হ্যাঁ,15
কিন্তু কিন্তু,20,হয়ে যাচ্ছে,21,সাথে কথা,16,নানা ধরনের,32,বসে বসে,15,in the,15
ফারহান বলল,20,জানে না,20,আমি কি,16,করবে না,32,করছে না,15,সাথে কথা,15
তার কারণ,20,করার সময়,20,হয় আর,16,করে একটা,32,ফিরে আসার,15,যাই হোক,15
বুঝতে পারছি,20,তাকে নিয়ে,20,তেমন কোন,16,থাকে তাহলে,32,দেখার জন্য,15,হাসি দিয়ে,15
থাকে না,20,বেশ ভালোই,20,হয় তার,16,শক্তি কেন্দ্র,32,হাতে নিয়ে,15,অনেক দিন,15
পারলাম না,20,করি আমি,20,স্থান করে,16,হয়ে যাওয়া,32,মুখ দিয়ে,15,তৈরি করে,15
তা হলে,19,না আমাদের,20,আমি সেই,16,আমি তার,32,নুরুল আলম,15,মাছ ধরার,15
হয় এই,19,তার দিকে,20,না তবে,16,চাই না,32,না এটা,15,করা হবে,15
করা হয়েছে,19,যেতে হবে,20,করে দেয়া,16,দেশের জন্য,32,মনে পড়ে,15,বছরের পুরনো,15
বৃদ্ধ বললেন,19,হয়ে পড়ে,20,হবে আর,16,মজার ব্যাপার,32,দেয়া হয়,15,কিছু কিছু,15
তানিয়া বলল,19,করো না,20,জানা যায়,16,দেখতে দেখতে,31,ছোট্ট একটা,15,সজল খালেদ,15
তা ছাড়া,19,বসে আছে,20,ব্লগার জানা,16,বই পড়ে,31,আমার খুব,15,আছে তার,15
ইন্টারনেট তথ্যসূত্র,19,না আমরা,20,নং আয়াত,16,হচ্ছে এই,31,তাকিয়ে আছে,15,সাথে সাথেই,15
আমি কী,19,কী কী,20,বেশ কিছু,16,সেটা হচ্ছে,31,করতে লাগলো,15,একের পর,15
বলা যায়,19,কী যে,20,নিয়ে তার,16,হয় এবং,31,হচ্ছে না,15,করে এই,15
রাবেয়া চাচী,19,থাকতে পারে,19,আমি জানি,16,একটা বই,31,তার উপর,15,করে নি,15
করে ওঠে,19,যে আমি,19,আমি এক,16,তাদের জন্য,31,এই তো,15,মনে করা,15
দ্বিতীয় বায়োজিদ,19,যে আমার,19,পক্ষ থেকে,16,কথা বলার,31,আমার কোন,15,কাটিয়ে দিলাম,15
